City,Period,Temperature,Status
AGUAS EMENDADAS,2019/01/01,21.0,Regular
AGUAS EMENDADAS,2019/01/02,23.0,Regular
AGUAS EMENDADAS,2019/01/03,23.0,Regular
AGUAS EMENDADAS,2019/01/04,23.0,Regular
AGUAS EMENDADAS,2019/01/05,21.0,Regular
AGUAS EMENDADAS,2019/01/06,22.0,Regular
AGUAS EMENDADAS,2019/01/07,22.0,Regular
AGUAS EMENDADAS,2019/01/08,23.0,Regular
AGUAS EMENDADAS,2019/01/09,22.0,Regular
AGUAS EMENDADAS,2019/01/10,22.0,Regular
AGUAS EMENDADAS,2019/01/11,21.0,Regular
AGUAS EMENDADAS,2019/01/12,21.0,Regular
AGUAS EMENDADAS,2019/01/13,22.0,Regular
AGUAS EMENDADAS,2019/01/14,23.0,Regular
AGUAS EMENDADAS,2019/01/15,23.0,Regular
AGUAS EMENDADAS,2019/01/16,23.0,Regular
AGUAS EMENDADAS,2019/01/17,24.0,Perfect
AGUAS EMENDADAS,2019/01/18,23.0,Regular
AGUAS EMENDADAS,2019/01/19,24.0,Perfect
AGUAS EMENDADAS,2019/01/20,24.0,Perfect
AGUAS EMENDADAS,2019/01/21,23.0,Regular
AGUAS EMENDADAS,2019/01/22,26.0,Perfect
AGUAS EMENDADAS,2019/01/23,25.0,Perfect
AGUAS EMENDADAS,2019/01/24,25.0,Perfect
AGUAS EMENDADAS,2019/01/25,21.0,Regular
AGUAS EMENDADAS,2019/01/26,20.0,Regular
AGUAS EMENDADAS,2019/01/27,21.0,Regular
AGUAS EMENDADAS,2019/01/28,23.0,Regular
AGUAS EMENDADAS,2019/01/29,23.0,Regular
AGUAS EMENDADAS,2019/01/30,24.0,Perfect
AGUAS EMENDADAS,2019/01/31,24.0,Perfect
AGUAS EMENDADAS,2019/02/01,24.0,Perfect
AGUAS EMENDADAS,2019/02/02,25.0,Perfect
AGUAS EMENDADAS,2019/02/03,24.0,Perfect
AGUAS EMENDADAS,2019/02/04,22.0,Regular
AGUAS EMENDADAS,2019/02/05,22.0,Regular
AGUAS EMENDADAS,2019/02/06,21.0,Regular
AGUAS EMENDADAS,2019/02/07,22.0,Regular
AGUAS EMENDADAS,2019/02/08,22.0,Regular
AGUAS EMENDADAS,2019/02/09,22.0,Regular
AGUAS EMENDADAS,2019/02/10,21.0,Regular
AGUAS EMENDADAS,2019/02/11,23.0,Regular
AGUAS EMENDADAS,2019/02/12,24.0,Perfect
AGUAS EMENDADAS,2019/02/13,24.0,Perfect
AGUAS EMENDADAS,2019/02/14,25.0,Perfect
AGUAS EMENDADAS,2019/02/15,23.0,Regular
AGUAS EMENDADAS,2019/02/16,22.0,Regular
AGUAS EMENDADAS,2019/02/17,21.0,Regular
AGUAS EMENDADAS,2019/02/18,20.0,Regular
AGUAS EMENDADAS,2019/02/19,22.0,Regular
AGUAS EMENDADAS,2019/02/20,22.0,Regular
AGUAS EMENDADAS,2019/02/21,22.0,Regular
AGUAS EMENDADAS,2019/02/22,23.0,Regular
AGUAS EMENDADAS,2019/02/23,23.0,Regular
AGUAS EMENDADAS,2019/02/24,23.0,Regular
AGUAS EMENDADAS,2019/02/25,22.0,Regular
AGUAS EMENDADAS,2019/02/26,22.0,Regular
AGUAS EMENDADAS,2019/02/27,22.0,Regular
AGUAS EMENDADAS,2019/02/28,21.0,Regular
AGUAS EMENDADAS,2019/03/01,21.0,Regular
AGUAS EMENDADAS,2019/03/02,21.0,Regular
AGUAS EMENDADAS,2019/03/03,21.0,Regular
AGUAS EMENDADAS,2019/03/04,21.0,Regular
AGUAS EMENDADAS,2019/03/05,22.0,Regular
AGUAS EMENDADAS,2019/03/06,21.0,Regular
AGUAS EMENDADAS,2019/03/07,22.0,Regular
AGUAS EMENDADAS,2019/03/08,23.0,Regular
AGUAS EMENDADAS,2019/03/09,24.0,Perfect
AGUAS EMENDADAS,2019/03/10,22.0,Regular
AGUAS EMENDADAS,2019/03/11,21.0,Regular
AGUAS EMENDADAS,2019/03/12,23.0,Regular
AGUAS EMENDADAS,2019/03/13,22.0,Regular
AGUAS EMENDADAS,2019/03/14,23.0,Regular
AGUAS EMENDADAS,2019/03/15,24.0,Perfect
AGUAS EMENDADAS,2019/03/16,24.0,Perfect
AGUAS EMENDADAS,2019/03/17,20.0,Regular
AGUAS EMENDADAS,2019/03/18,22.0,Regular
AGUAS EMENDADAS,2019/03/19,23.0,Regular
AGUAS EMENDADAS,2019/03/20,23.0,Regular
AGUAS EMENDADAS,2019/03/21,22.0,Regular
AGUAS EMENDADAS,2019/03/22,22.0,Regular
AGUAS EMENDADAS,2019/03/23,21.0,Regular
AGUAS EMENDADAS,2019/03/24,22.0,Regular
AGUAS EMENDADAS,2019/03/25,22.0,Regular
AGUAS EMENDADAS,2019/03/26,22.0,Regular
AGUAS EMENDADAS,2019/03/27,22.0,Regular
AGUAS EMENDADAS,2019/03/28,22.0,Regular
AGUAS EMENDADAS,2019/03/29,22.0,Regular
AGUAS EMENDADAS,2019/03/30,23.0,Regular
AGUAS EMENDADAS,2019/03/31,22.0,Regular
AGUAS EMENDADAS,2019/04/01,21.0,Regular
AGUAS EMENDADAS,2019/04/02,22.0,Regular
AGUAS EMENDADAS,2019/04/03,22.0,Regular
AGUAS EMENDADAS,2019/04/04,22.0,Regular
AGUAS EMENDADAS,2019/04/05,22.0,Regular
AGUAS EMENDADAS,2019/04/06,20.0,Regular
AGUAS EMENDADAS,2019/04/07,21.0,Regular
AGUAS EMENDADAS,2019/04/08,20.0,Regular
AGUAS EMENDADAS,2019/04/09,21.0,Regular
