City,Period,Temperature,Status
ALTO PARAISO DE GOIAS,2019-01,21.0,Regular
ALTO PARAISO DE GOIAS,2019-02,21.0,Regular
ALTO PARAISO DE GOIAS,2019-03,20.0,Regular
ALTO PARAISO DE GOIAS,2019-04,21.0,Regular
ALTO PARAISO DE GOIAS,2019-05,20.0,Regular
ALTO PARAISO DE GOIAS,2019-06,19.0,Regular
ALTO PARAISO DE GOIAS,2019-07,19.0,Regular
ALTO PARAISO DE GOIAS,2019-08,20.0,Regular
ALTO PARAISO DE GOIAS,2019-09,23.0,Regular
ALTO PARAISO DE GOIAS,2019-10,23.0,Regular
ALTO PARAISO DE GOIAS,2019-11,22.0,Regular
ALTO PARAISO DE GOIAS,2019-12,22.0,Regular
ALTO PARAISO DE GOIAS,2020-01,21.0,Regular
ALTO PARAISO DE GOIAS,2020-02,21.0,Regular
ALTO PARAISO DE GOIAS,2020-03,20.0,Regular
ALTO PARAISO DE GOIAS,2020-04,20.0,Regular
ALTO PARAISO DE GOIAS,2020-05,19.0,Regular
ALTO PARAISO DE GOIAS,2020-06,18.0,Regular
ALTO PARAISO DE GOIAS,2020-07,18.0,Regular
ALTO PARAISO DE GOIAS,2020-08,20.0,Regular
ALTO PARAISO DE GOIAS,2020-09,22.0,Regular
ALTO PARAISO DE GOIAS,2020-10,23.0,Regular
ALTO PARAISO DE GOIAS,2020-11,21.0,Regular
ALTO PARAISO DE GOIAS,2020-12,21.0,Regular
ALTO PARAISO DE GOIAS,2021-01,21.0,Regular
ALTO PARAISO DE GOIAS,2021-02,20.0,Regular
ALTO PARAISO DE GOIAS,2021-03,20.0,Regular
ALTO PARAISO DE GOIAS,2021-04,20.0,Regular
ALTO PARAISO DE GOIAS,2021-05,19.0,Regular
ALTO PARAISO DE GOIAS,2021-06,19.0,Regular
ALTO PARAISO DE GOIAS,2021-07,18.0,Regular
ALTO PARAISO DE GOIAS,2021-08,20.0,Regular
ALTO PARAISO DE GOIAS,2021-09,24.0,Perfect
ALTO PARAISO DE GOIAS,2021-10,22.0,Regular
ALTO PARAISO DE GOIAS,2021-11,20.0,Regular
ALTO PARAISO DE GOIAS,2021-12,20.0,Regular
ALTO PARAISO DE GOIAS,2022-01,20.0,Regular
ALTO PARAISO DE GOIAS,2022-02,20.0,Regular
ALTO PARAISO DE GOIAS,2022-03,21.0,Regular
ALTO PARAISO DE GOIAS,2022-04,21.0,Regular
ALTO PARAISO DE GOIAS,2022-05,19.0,Regular
ALTO PARAISO DE GOIAS,2022-06,18.0,Regular
ALTO PARAISO DE GOIAS,2022-07,20.0,Regular
ALTO PARAISO DE GOIAS,2022-08,20.0,Regular
ALTO PARAISO DE GOIAS,2022-09,21.0,Regular
ALTO PARAISO DE GOIAS,2022-10,22.0,Regular
ALTO PARAISO DE GOIAS,2022-11,20.0,Regular
ALTO PARAISO DE GOIAS,2022-12,21.0,Regular
ALTO PARAISO DE GOIAS,2023-01,21.0,Regular
ALTO PARAISO DE GOIAS,2023-02,22.0,Regular
ALTO PARAISO DE GOIAS,2023-03,20.0,Regular
ALTO PARAISO DE GOIAS,2023-04,20.0,Regular
ALTO PARAISO DE GOIAS,2023-05,19.0,Regular
ALTO PARAISO DE GOIAS,2023-06,19.0,Regular
ALTO PARAISO DE GOIAS,2023-07,19.0,Regular
ALTO PARAISO DE GOIAS,2023-08,21.0,Regular
ALTO PARAISO DE GOIAS,2023-09,23.0,Regular
ALTO PARAISO DE GOIAS,2023-10,24.0,Perfect
ALTO PARAISO DE GOIAS,2023-11,23.0,Regular
ALTO PARAISO DE GOIAS,2023-12,22.0,Regular
ARAGARCAS,2019-01,27.0,Perfect
ARAGARCAS,2019-02,26.0,Perfect
ARAGARCAS,2019-03,27.0,Perfect
ARAGARCAS,2019-04,27.0,Perfect
ARAGARCAS,2019-05,26.0,Perfect
ARAGARCAS,2019-06,24.0,Perfect
ARAGARCAS,2019-07,24.0,Perfect
ARAGARCAS,2019-08,27.0,Perfect
ARAGARCAS,2019-09,30.0,Perfect
ARAGARCAS,2019-10,29.0,Perfect
ARAGARCAS,2019-11,27.0,Perfect
ARAGARCAS,2019-12,26.0,Perfect
ARAGARCAS,2020-01,27.0,Perfect
ARAGARCAS,2020-02,26.0,Perfect
ARAGARCAS,2020-03,27.0,Perfect
ARAGARCAS,2020-04,27.0,Perfect
ARAGARCAS,2020-05,24.0,Perfect
ARAGARCAS,2020-06,24.0,Perfect
ARAGARCAS,2020-07,24.0,Perfect
ARAGARCAS,2020-08,26.0,Perfect
ARAGARCAS,2020-09,29.0,Perfect
ARAGARCAS,2020-10,29.0,Perfect
ARAGARCAS,2020-11,28.0,Perfect
ARAGARCAS,2020-12,29.0,Perfect
ARAGARCAS,2021-01,30.0,Perfect
ARAGARCAS,2021-02,30.0,Perfect
ARAGARCAS,2021-03,30.0,Perfect
ARAGARCAS,2021-04,30.0,Perfect
ARAGARCAS,2021-05,30.0,Perfect
ARAGARCAS,2021-06,30.0,Perfect
ARAGARCAS,2021-07,30.0,Perfect
ARAGARCAS,2021-08,31.0,danger
ARAGARCAS,2021-09,36.0,danger
ARAGARCAS,2021-10,32.0,danger
ARAGARCAS,2021-11,27.0,Perfect
ARAGARCAS,2021-12,26.0,Perfect
ARAGARCAS,2022-01,26.0,Perfect
ARAGARCAS,2022-02,26.0,Perfect
ARAGARCAS,2022-03,27.0,Perfect
ARAGARCAS,2022-04,27.0,Perfect
ARAGARCAS,2022-05,24.0,Perfect
ARAGARCAS,2022-06,24.0,Perfect
ARAGARCAS,2022-07,24.0,Perfect
ARAGARCAS,2022-08,25.0,Perfect
ARAGARCAS,2022-09,25.0,Perfect
ARAGARCAS,2022-10,25.0,Perfect
ARAGARCAS,2022-11,25.0,Perfect
ARAGARCAS,2022-12,25.0,Perfect
ARAGARCAS,2023-01,24.0,Perfect
ARAGARCAS,2023-02,24.0,Perfect
ARAGARCAS,2023-03,24.0,Perfect
ARAGARCAS,2023-04,24.0,Perfect
ARAGARCAS,2023-05,24.0,Perfect
ARAGARCAS,2023-06,24.0,Perfect
ARAGARCAS,2023-07,24.0,Perfect
ARAGARCAS,2023-08,24.0,Perfect
ARAGARCAS,2023-09,24.0,Perfect
ARAGARCAS,2023-10,24.0,Perfect
ARAGARCAS,2023-11,24.0,Perfect
ARAGARCAS,2023-12,24.0,Perfect
CAIAPONIA,2019-01,25.0,Perfect
CAIAPONIA,2019-02,24.0,Perfect
CAIAPONIA,2019-03,24.0,Perfect
CAIAPONIA,2019-04,24.0,Perfect
CAIAPONIA,2019-05,23.0,Regular
CAIAPONIA,2019-06,21.0,Regular
CAIAPONIA,2019-07,21.0,Regular
CAIAPONIA,2019-08,24.0,Perfect
CAIAPONIA,2019-09,28.0,Perfect
CAIAPONIA,2019-10,26.0,Perfect
CAIAPONIA,2019-11,25.0,Perfect
CAIAPONIA,2019-12,25.0,Perfect
CAIAPONIA,2020-01,24.0,Perfect
CAIAPONIA,2020-02,24.0,Perfect
CAIAPONIA,2020-03,24.0,Perfect
CAIAPONIA,2020-04,24.0,Perfect
CAIAPONIA,2020-05,21.0,Regular
CAIAPONIA,2020-06,22.0,Regular
CAIAPONIA,2020-07,22.0,Regular
CAIAPONIA,2020-08,24.0,Perfect
CAIAPONIA,2020-09,27.0,Perfect
CAIAPONIA,2020-10,26.0,Perfect
CAIAPONIA,2020-11,25.0,Perfect
CAIAPONIA,2020-12,26.0,Perfect
CAIAPONIA,2021-01,26.0,Perfect
CAIAPONIA,2021-02,25.0,Perfect
CAIAPONIA,2021-03,25.0,Perfect
CAIAPONIA,2021-04,26.0,Perfect
CAIAPONIA,2021-05,27.0,Perfect
CAIAPONIA,2021-06,26.0,Perfect
CAIAPONIA,2021-07,26.0,Perfect
CAIAPONIA,2021-08,29.0,Perfect
CAIAPONIA,2021-09,32.0,danger
CAIAPONIA,2021-10,27.0,Perfect
CAIAPONIA,2021-11,24.0,Perfect
CAIAPONIA,2021-12,24.0,Perfect
CAIAPONIA,2022-01,23.0,Regular
CAIAPONIA,2022-02,24.0,Perfect
CAIAPONIA,2022-03,24.0,Perfect
CAIAPONIA,2022-04,24.0,Perfect
CAIAPONIA,2022-05,21.0,Regular
CAIAPONIA,2022-06,22.0,Regular
CAIAPONIA,2022-07,22.0,Regular
CAIAPONIA,2022-08,23.0,Regular
CAIAPONIA,2022-09,26.0,Perfect
CAIAPONIA,2022-10,25.0,Perfect
CAIAPONIA,2022-11,24.0,Perfect
CAIAPONIA,2022-12,23.0,Regular
CAIAPONIA,2023-01,23.0,Regular
CAIAPONIA,2023-02,24.0,Perfect
CAIAPONIA,2023-03,24.0,Perfect
CAIAPONIA,2023-04,24.0,Perfect
CAIAPONIA,2023-05,22.0,Regular
CAIAPONIA,2023-06,23.0,Regular
CAIAPONIA,2023-07,27.0,Perfect
CAIAPONIA,2023-08,29.0,Perfect
CAIAPONIA,2023-09,30.0,Perfect
CAIAPONIA,2023-10,27.0,Perfect
CAIAPONIA,2023-11,27.0,Perfect
CAIAPONIA,2023-12,26.0,Perfect
CATALAO,2019-01,25.0,Perfect
CATALAO,2019-02,24.0,Perfect
CATALAO,2019-03,24.0,Perfect
CATALAO,2019-04,24.0,Perfect
CATALAO,2019-05,23.0,Regular
CATALAO,2019-06,21.0,Regular
CATALAO,2019-07,20.0,Regular
CATALAO,2019-08,23.0,Regular
CATALAO,2019-09,27.0,Perfect
CATALAO,2019-10,26.0,Perfect
CATALAO,2019-11,24.0,Perfect
CATALAO,2019-12,24.0,Perfect
CATALAO,2020-01,24.0,Perfect
