City,Period,Temperature,Status
ARAPIRACA,2019-01,25.0,Perfect
ARAPIRACA,2019-02,27.0,Perfect
ARAPIRACA,2019-03,27.0,Perfect
ARAPIRACA,2019-04,26.0,Perfect
ARAPIRACA,2019-05,25.0,Perfect
ARAPIRACA,2019-06,25.0,Perfect
ARAPIRACA,2019-07,26.0,Perfect
ARAPIRACA,2019-08,26.0,Perfect
ARAPIRACA,2019-09,26.0,Perfect
ARAPIRACA,2019-10,26.0,Perfect
ARAPIRACA,2019-11,26.0,Perfect
ARAPIRACA,2019-12,26.0,Perfect
ARAPIRACA,2021-01,27.0,Perfect
ARAPIRACA,2021-02,29.0,Perfect
ARAPIRACA,2021-03,29.0,Perfect
ARAPIRACA,2021-04,28.0,Perfect
ARAPIRACA,2021-05,28.0,Perfect
ARAPIRACA,2021-06,28.0,Perfect
ARAPIRACA,2021-07,28.0,Perfect
ARAPIRACA,2021-08,28.0,Perfect
ARAPIRACA,2021-09,28.0,Perfect
ARAPIRACA,2021-10,28.0,Perfect
ARAPIRACA,2021-11,28.0,Perfect
ARAPIRACA,2021-12,28.0,Perfect
ARAPIRACA,2022-01,22.0,Regular
ARAPIRACA,2022-02,22.0,Regular
ARAPIRACA,2022-03,22.0,Regular
ARAPIRACA,2022-04,22.0,Regular
ARAPIRACA,2022-05,22.0,Regular
ARAPIRACA,2022-06,22.0,Regular
ARAPIRACA,2022-07,22.0,Regular
ARAPIRACA,2022-08,22.0,Regular
ARAPIRACA,2022-09,22.0,Regular
ARAPIRACA,2022-10,22.0,Regular
ARAPIRACA,2022-11,22.0,Regular
ARAPIRACA,2022-12,22.0,Regular
ARAPIRACA,2023-01,25.0,Perfect
ARAPIRACA,2023-02,25.0,Perfect
ARAPIRACA,2023-03,25.0,Perfect
ARAPIRACA,2023-04,25.0,Perfect
ARAPIRACA,2023-05,25.0,Perfect
ARAPIRACA,2023-06,25.0,Perfect
ARAPIRACA,2023-07,25.0,Perfect
ARAPIRACA,2023-08,25.0,Perfect
ARAPIRACA,2023-09,23.0,Regular
ARAPIRACA,2023-10,25.0,Perfect
ARAPIRACA,2023-11,26.0,Perfect
ARAPIRACA,2023-12,26.0,Perfect
CORURIPE,2019-01,27.0,Perfect
CORURIPE,2019-02,27.0,Perfect
CORURIPE,2019-03,28.0,Perfect
CORURIPE,2019-04,27.0,Perfect
CORURIPE,2019-05,27.0,Perfect
CORURIPE,2019-06,26.0,Perfect
CORURIPE,2019-07,26.0,Perfect
CORURIPE,2019-08,24.0,Perfect
CORURIPE,2019-09,25.0,Perfect
CORURIPE,2019-10,26.0,Perfect
CORURIPE,2019-11,26.0,Perfect
CORURIPE,2019-12,27.0,Perfect
CORURIPE,2020-01,28.0,Perfect
CORURIPE,2020-02,28.0,Perfect
CORURIPE,2020-03,27.0,Perfect
CORURIPE,2020-04,27.0,Perfect
CORURIPE,2020-05,26.0,Perfect
CORURIPE,2020-06,25.0,Perfect
CORURIPE,2020-07,24.0,Perfect
CORURIPE,2020-08,24.0,Perfect
CORURIPE,2020-09,24.0,Perfect
CORURIPE,2020-10,26.0,Perfect
CORURIPE,2020-11,26.0,Perfect
CORURIPE,2020-12,26.0,Perfect
CORURIPE,2022-01,25.0,Perfect
CORURIPE,2022-02,25.0,Perfect
CORURIPE,2022-03,25.0,Perfect
CORURIPE,2022-04,25.0,Perfect
CORURIPE,2022-05,25.0,Perfect
CORURIPE,2022-06,24.0,Perfect
CORURIPE,2022-07,24.0,Perfect
CORURIPE,2022-08,23.0,Regular
CORURIPE,2022-09,24.0,Perfect
CORURIPE,2022-10,26.0,Perfect
CORURIPE,2022-11,26.0,Perfect
CORURIPE,2022-12,26.0,Perfect
CORURIPE,2023-01,26.0,Perfect
CORURIPE,2023-02,27.0,Perfect
CORURIPE,2023-03,27.0,Perfect
CORURIPE,2023-04,27.0,Perfect
CORURIPE,2023-05,26.0,Perfect
CORURIPE,2023-06,24.0,Perfect
CORURIPE,2023-07,24.0,Perfect
CORURIPE,2023-08,24.0,Perfect
CORURIPE,2023-09,24.0,Perfect
CORURIPE,2023-10,26.0,Perfect
CORURIPE,2023-11,27.0,Perfect
CORURIPE,2023-12,27.0,Perfect
MACEIO,2019-01,26.0,Perfect
MACEIO,2019-02,27.0,Perfect
MACEIO,2019-03,27.0,Perfect
MACEIO,2019-04,27.0,Perfect
MACEIO,2019-05,26.0,Perfect
MACEIO,2019-06,25.0,Perfect
MACEIO,2019-07,24.0,Perfect
MACEIO,2019-08,24.0,Perfect
MACEIO,2019-09,25.0,Perfect
MACEIO,2019-10,25.0,Perfect
MACEIO,2019-11,26.0,Perfect
MACEIO,2019-12,27.0,Perfect
MACEIO,2020-01,27.0,Perfect
MACEIO,2020-02,27.0,Perfect
MACEIO,2020-03,27.0,Perfect
MACEIO,2020-04,27.0,Perfect
MACEIO,2020-05,27.0,Perfect
MACEIO,2020-06,27.0,Perfect
MACEIO,2020-07,27.0,Perfect
MACEIO,2020-08,27.0,Perfect
MACEIO,2020-09,27.0,Perfect
MACEIO,2020-10,27.0,Perfect
MACEIO,2020-11,27.0,Perfect
MACEIO,2020-12,26.0,Perfect
MACEIO,2021-01,26.0,Perfect
MACEIO,2021-02,27.0,Perfect
MACEIO,2021-03,26.0,Perfect
MACEIO,2021-04,26.0,Perfect
MACEIO,2021-05,25.0,Perfect
MACEIO,2021-06,24.0,Perfect
MACEIO,2021-07,24.0,Perfect
MACEIO,2021-08,23.0,Regular
MACEIO,2021-09,25.0,Perfect
MACEIO,2021-10,26.0,Perfect
MACEIO,2021-11,27.0,Perfect
MACEIO,2021-12,27.0,Perfect
MACEIO,2022-01,27.0,Perfect
MACEIO,2022-02,27.0,Perfect
MACEIO,2022-03,26.0,Perfect
MACEIO,2022-04,26.0,Perfect
MACEIO,2022-05,25.0,Perfect
MACEIO,2022-06,24.0,Perfect
MACEIO,2022-07,24.0,Perfect
MACEIO,2022-08,25.0,Perfect
MACEIO,2022-09,24.0,Perfect
MACEIO,2022-10,25.0,Perfect
MACEIO,2022-11,26.0,Perfect
MACEIO,2022-12,26.0,Perfect
MACEIO,2023-01,26.0,Perfect
MACEIO,2023-02,27.0,Perfect
MACEIO,2023-03,27.0,Perfect
MACEIO,2023-04,26.0,Perfect
MACEIO,2023-05,26.0,Perfect
MACEIO,2023-06,24.0,Perfect
MACEIO,2023-07,24.0,Perfect
MACEIO,2023-08,24.0,Perfect
MACEIO,2023-09,25.0,Perfect
MACEIO,2023-10,25.0,Perfect
MACEIO,2023-11,25.0,Perfect
MACEIO,2023-12,26.0,Perfect
PALMEIRA DOS INDIOS,2019-01,26.0,Perfect
PALMEIRA DOS INDIOS,2019-02,28.0,Perfect
PALMEIRA DOS INDIOS,2019-03,27.0,Perfect
PALMEIRA DOS INDIOS,2019-04,26.0,Perfect
PALMEIRA DOS INDIOS,2019-05,26.0,Perfect
PALMEIRA DOS INDIOS,2019-06,23.0,Regular
PALMEIRA DOS INDIOS,2019-07,23.0,Regular
PALMEIRA DOS INDIOS,2019-08,23.0,Regular
PALMEIRA DOS INDIOS,2019-09,26.0,Perfect
PALMEIRA DOS INDIOS,2019-10,26.0,Perfect
PALMEIRA DOS INDIOS,2019-11,27.0,Perfect
PALMEIRA DOS INDIOS,2019-12,27.0,Perfect
PALMEIRA DOS INDIOS,2020-01,28.0,Perfect
PALMEIRA DOS INDIOS,2020-02,28.0,Perfect
PALMEIRA DOS INDIOS,2020-03,27.0,Perfect
PALMEIRA DOS INDIOS,2020-04,26.0,Perfect
PALMEIRA DOS INDIOS,2020-05,25.0,Perfect
PALMEIRA DOS INDIOS,2020-06,23.0,Regular
PALMEIRA DOS INDIOS,2020-07,22.0,Regular
PALMEIRA DOS INDIOS,2020-08,22.0,Regular
PALMEIRA DOS INDIOS,2020-09,23.0,Regular
PALMEIRA DOS INDIOS,2020-10,26.0,Perfect
PALMEIRA DOS INDIOS,2020-11,26.0,Perfect
PALMEIRA DOS INDIOS,2020-12,26.0,Perfect
PALMEIRA DOS INDIOS,2021-01,26.0,Perfect
PALMEIRA DOS INDIOS,2021-02,27.0,Perfect
PALMEIRA DOS INDIOS,2021-03,26.0,Perfect
PALMEIRA DOS INDIOS,2021-04,26.0,Perfect
PALMEIRA DOS INDIOS,2021-05,24.0,Perfect
PALMEIRA DOS INDIOS,2021-06,23.0,Regular
PALMEIRA DOS INDIOS,2021-07,23.0,Regular
PALMEIRA DOS INDIOS,2021-08,22.0,Regular
PALMEIRA DOS INDIOS,2021-09,24.0,Perfect
PALMEIRA DOS INDIOS,2021-10,26.0,Perfect
PALMEIRA DOS INDIOS,2021-11,27.0,Perfect
PALMEIRA DOS INDIOS,2021-12,27.0,Perfect
PALMEIRA DOS INDIOS,2022-01,27.0,Perfect
PALMEIRA DOS INDIOS,2022-02,28.0,Perfect
PALMEIRA DOS INDIOS,2022-03,26.0,Perfect
PALMEIRA DOS INDIOS,2022-04,26.0,Perfect
PALMEIRA DOS INDIOS,2022-05,24.0,Perfect
PALMEIRA DOS INDIOS,2022-06,24.0,Perfect
PALMEIRA DOS INDIOS,2022-07,25.0,Perfect
PALMEIRA DOS INDIOS,2022-08,23.0,Regular
PALMEIRA DOS INDIOS,2022-09,24.0,Perfect
PALMEIRA DOS INDIOS,2022-10,25.0,Perfect
PALMEIRA DOS INDIOS,2022-11,26.0,Perfect
PALMEIRA DOS INDIOS,2022-12,26.0,Perfect
PALMEIRA DOS INDIOS,2023-01,26.0,Perfect
PALMEIRA DOS INDIOS,2023-02,26.0,Perfect
PALMEIRA DOS INDIOS,2023-03,26.0,Perfect
PALMEIRA DOS INDIOS,2023-04,26.0,Perfect
PALMEIRA DOS INDIOS,2023-05,26.0,Perfect
PALMEIRA DOS INDIOS,2023-06,25.0,Perfect
PALMEIRA DOS INDIOS,2023-07,25.0,Perfect
PALMEIRA DOS INDIOS,2023-08,25.0,Perfect
PALMEIRA DOS INDIOS,2023-09,24.0,Perfect
PALMEIRA DOS INDIOS,2023-10,25.0,Perfect
PALMEIRA DOS INDIOS,2023-11,27.0,Perfect
PALMEIRA DOS INDIOS,2023-12,27.0,Perfect
PAO DE ACUCAR,2019-01,29.0,Perfect
PAO DE ACUCAR,2019-02,30.0,Perfect
PAO DE ACUCAR,2019-03,29.0,Perfect
PAO DE ACUCAR,2019-04,29.0,Perfect
PAO DE ACUCAR,2019-05,28.0,Perfect
PAO DE ACUCAR,2019-06,26.0,Perfect
PAO DE ACUCAR,2019-07,25.0,Perfect
PAO DE ACUCAR,2019-08,24.0,Perfect
PAO DE ACUCAR,2019-09,26.0,Perfect
PAO DE ACUCAR,2019-10,28.0,Perfect
PAO DE ACUCAR,2019-11,29.0,Perfect
PAO DE ACUCAR,2019-12,30.0,Perfect
PAO DE ACUCAR,2020-01,30.0,Perfect
PAO DE ACUCAR,2020-02,30.0,Perfect
PAO DE ACUCAR,2020-03,30.0,Perfect
PAO DE ACUCAR,2020-04,29.0,Perfect
PAO DE ACUCAR,2020-05,26.0,Perfect
PAO DE ACUCAR,2020-06,26.0,Perfect
PAO DE ACUCAR,2020-07,25.0,Perfect
PAO DE ACUCAR,2020-08,27.0,Perfect
PAO DE ACUCAR,2020-09,28.0,Perfect
PAO DE ACUCAR,2020-10,28.0,Perfect
PAO DE ACUCAR,2020-11,28.0,Perfect
PAO DE ACUCAR,2020-12,28.0,Perfect
PAO DE ACUCAR,2023-01,29.0,Perfect
PAO DE ACUCAR,2023-02,29.0,Perfect
PAO DE ACUCAR,2023-03,29.0,Perfect
PAO DE ACUCAR,2023-04,28.0,Perfect
PAO DE ACUCAR,2023-05,27.0,Perfect
PAO DE ACUCAR,2023-06,25.0,Perfect
PAO DE ACUCAR,2023-07,24.0,Perfect
PAO DE ACUCAR,2023-08,25.0,Perfect
PAO DE ACUCAR,2023-09,26.0,Perfect
PAO DE ACUCAR,2023-10,28.0,Perfect
PAO DE ACUCAR,2023-11,30.0,Perfect
PAO DE ACUCAR,2023-12,29.0,Perfect
PIRANHAS,2019-01,28.0,Perfect
PIRANHAS,2019-02,29.0,Perfect
