City,Period,Temperature,Status
ABROLHOS,2019-01,27.0,Perfect
ABROLHOS,2019-02,28.0,Perfect
ABROLHOS,2019-03,28.0,Perfect
ABROLHOS,2019-04,28.0,Perfect
ABROLHOS,2019-05,27.0,Perfect
ABROLHOS,2019-06,25.0,Perfect
ABROLHOS,2019-07,24.0,Regular
ABROLHOS,2019-08,24.0,Regular
ABROLHOS,2019-09,25.0,Perfect
ABROLHOS,2019-10,25.0,Perfect
ABROLHOS,2019-11,26.0,Perfect
ABROLHOS,2019-12,27.0,Perfect
ABROLHOS,2020-01,26.0,Perfect
ABROLHOS,2020-02,27.0,Perfect
ABROLHOS,2020-03,27.0,Perfect
ABROLHOS,2020-04,26.0,Perfect
ABROLHOS,2020-05,25.0,Perfect
ABROLHOS,2020-06,25.0,Perfect
ABROLHOS,2020-07,25.0,Perfect
ABROLHOS,2020-08,24.0,Regular
ABROLHOS,2020-09,25.0,Perfect
ABROLHOS,2020-10,25.0,Perfect
ABROLHOS,2020-11,26.0,Perfect
ABROLHOS,2020-12,26.0,Perfect
AMARGOSA,2019-01,25.0,Perfect
AMARGOSA,2019-02,26.0,Perfect
AMARGOSA,2019-03,26.0,Perfect
AMARGOSA,2019-04,25.0,Perfect
AMARGOSA,2019-05,24.0,Regular
AMARGOSA,2019-06,22.0,Regular
AMARGOSA,2019-07,21.0,Regular
AMARGOSA,2019-08,21.0,Regular
AMARGOSA,2019-09,22.0,Regular
AMARGOSA,2019-10,23.0,Regular
AMARGOSA,2019-11,24.0,Regular
AMARGOSA,2019-12,25.0,Perfect
AMARGOSA,2020-01,25.0,Perfect
AMARGOSA,2020-02,26.0,Perfect
AMARGOSA,2020-03,25.0,Perfect
AMARGOSA,2020-04,24.0,Regular
AMARGOSA,2020-05,23.0,Regular
AMARGOSA,2020-06,21.0,Regular
AMARGOSA,2020-07,20.0,Regular
AMARGOSA,2020-08,20.0,Regular
AMARGOSA,2020-09,21.0,Regular
AMARGOSA,2020-10,23.0,Regular
AMARGOSA,2020-11,23.0,Regular
AMARGOSA,2020-12,24.0,Regular
AMARGOSA,2021-01,24.0,Regular
AMARGOSA,2021-02,24.0,Regular
AMARGOSA,2021-03,24.0,Regular
AMARGOSA,2021-04,23.0,Regular
AMARGOSA,2021-05,22.0,Regular
AMARGOSA,2021-06,21.0,Regular
AMARGOSA,2021-07,20.0,Regular
AMARGOSA,2021-08,20.0,Regular
AMARGOSA,2021-09,22.0,Regular
AMARGOSA,2021-10,23.0,Regular
AMARGOSA,2021-11,23.0,Regular
AMARGOSA,2021-12,23.0,Regular
AMARGOSA,2022-01,23.0,Regular
AMARGOSA,2022-02,23.0,Regular
AMARGOSA,2022-03,23.0,Regular
AMARGOSA,2022-04,22.0,Regular
AMARGOSA,2022-05,22.0,Regular
AMARGOSA,2022-06,22.0,Regular
AMARGOSA,2022-07,22.0,Regular
AMARGOSA,2022-08,22.0,Regular
AMARGOSA,2022-09,21.0,Regular
AMARGOSA,2022-10,22.0,Regular
AMARGOSA,2022-11,22.0,Regular
AMARGOSA,2022-12,22.0,Regular
AMARGOSA,2023-01,22.0,Regular
AMARGOSA,2023-02,22.0,Regular
AMARGOSA,2023-03,22.0,Regular
AMARGOSA,2023-04,22.0,Regular
AMARGOSA,2023-05,22.0,Regular
AMARGOSA,2023-06,21.0,Regular
AMARGOSA,2023-07,20.0,Regular
AMARGOSA,2023-08,21.0,Regular
AMARGOSA,2023-09,21.0,Regular
AMARGOSA,2023-10,23.0,Regular
AMARGOSA,2023-11,24.0,Regular
AMARGOSA,2023-12,24.0,Regular
BARRA,2019-01,29.0,Perfect
BARRA,2019-02,28.0,Perfect
BARRA,2019-03,29.0,Perfect
BARRA,2019-04,28.0,Perfect
BARRA,2019-05,28.0,Perfect
BARRA,2019-06,27.0,Perfect
BARRA,2019-07,26.0,Perfect
BARRA,2019-08,27.0,Perfect
BARRA,2019-09,29.0,Perfect
BARRA,2019-10,30.0,Perfect
BARRA,2019-11,31.0,Perfect
BARRA,2019-12,31.0,Perfect
BARRA,2020-01,27.0,Perfect
BARRA,2020-02,28.0,Perfect
BARRA,2020-03,26.0,Perfect
BARRA,2020-04,26.0,Perfect
BARRA,2020-05,26.0,Perfect
BARRA,2020-06,25.0,Perfect
BARRA,2020-07,25.0,Perfect
BARRA,2020-08,26.0,Perfect
BARRA,2020-09,28.0,Perfect
BARRA,2020-10,30.0,Perfect
BARRA,2020-11,26.0,Perfect
BARRA,2020-12,29.0,Perfect
BARRA,2021-01,29.0,Perfect
BARRA,2021-02,27.0,Perfect
BARRA,2021-03,28.0,Perfect
BARRA,2021-04,28.0,Perfect
BARRA,2021-05,26.0,Perfect
BARRA,2021-06,26.0,Perfect
BARRA,2021-07,27.0,Perfect
BARRA,2021-08,30.0,Perfect
BARRA,2021-09,30.0,Perfect
BARRA,2021-10,28.0,Perfect
BARRA,2021-11,28.0,Perfect
BARRA,2021-12,28.0,Perfect
BARRA,2022-01,27.0,Perfect
BARRA,2022-02,27.0,Perfect
BARRA,2022-03,28.0,Perfect
BARRA,2022-04,28.0,Perfect
BARRA,2022-05,27.0,Perfect
BARRA,2022-06,26.0,Perfect
BARRA,2022-07,25.0,Perfect
BARRA,2022-08,27.0,Perfect
