City,Period,Temperature,Status
ACARAU,2019-01,27.0,Perfect
ACARAU,2019-02,26.0,Perfect
ACARAU,2019-03,25.0,Perfect
ACARAU,2019-04,26.0,Perfect
ACARAU,2019-05,27.0,Perfect
ACARAU,2019-06,27.0,Perfect
ACARAU,2019-07,26.0,Perfect
ACARAU,2019-08,27.0,Perfect
ACARAU,2019-09,27.0,Perfect
ACARAU,2019-10,27.0,Perfect
ACARAU,2019-11,28.0,Perfect
ACARAU,2019-12,28.0,Perfect
ACARAU,2022-01,27.0,Perfect
ACARAU,2022-02,27.0,Perfect
ACARAU,2022-03,27.0,Perfect
ACARAU,2022-04,27.0,Perfect
ACARAU,2022-05,27.0,Perfect
ACARAU,2022-06,27.0,Perfect
ACARAU,2022-07,27.0,Perfect
ACARAU,2022-08,27.0,Perfect
ACARAU,2022-09,27.0,Perfect
ACARAU,2022-10,28.0,Perfect
ACARAU,2022-11,27.0,Perfect
ACARAU,2022-12,27.0,Perfect
ACARAU,2023-01,27.0,Perfect
ACARAU,2023-02,27.0,Perfect
ACARAU,2023-03,26.0,Perfect
ACARAU,2023-04,26.0,Perfect
ACARAU,2023-05,27.0,Perfect
ACARAU,2023-06,27.0,Perfect
ACARAU,2023-07,27.0,Perfect
ACARAU,2023-08,27.0,Perfect
ACARAU,2023-09,28.0,Perfect
ACARAU,2023-10,28.0,Perfect
ACARAU,2023-11,28.0,Perfect
ACARAU,2023-12,28.0,Perfect
BARBALHA,2019-01,26.0,Perfect
BARBALHA,2019-02,27.0,Perfect
BARBALHA,2019-03,26.0,Perfect
BARBALHA,2019-04,26.0,Perfect
BARBALHA,2019-05,25.0,Perfect
BARBALHA,2019-06,25.0,Perfect
BARBALHA,2019-07,25.0,Perfect
BARBALHA,2019-08,26.0,Perfect
BARBALHA,2019-09,28.0,Perfect
BARBALHA,2019-10,29.0,Perfect
BARBALHA,2019-11,29.0,Perfect
BARBALHA,2019-12,29.0,Perfect
BARBALHA,2020-01,26.0,Perfect
BARBALHA,2020-02,27.0,Perfect
BARBALHA,2020-03,26.0,Perfect
BARBALHA,2020-04,26.0,Perfect
BARBALHA,2020-05,26.0,Perfect
BARBALHA,2020-06,25.0,Perfect
BARBALHA,2020-07,25.0,Perfect
BARBALHA,2020-08,26.0,Perfect
BARBALHA,2020-09,28.0,Perfect
BARBALHA,2020-10,29.0,Perfect
BARBALHA,2020-11,28.0,Perfect
BARBALHA,2020-12,28.0,Perfect
BARBALHA,2021-01,27.0,Perfect
BARBALHA,2021-02,26.0,Perfect
BARBALHA,2021-03,26.0,Perfect
BARBALHA,2021-04,25.0,Perfect
BARBALHA,2021-05,23.0,Regular
BARBALHA,2021-06,23.0,Regular
BARBALHA,2021-07,23.0,Regular
BARBALHA,2021-08,25.0,Perfect
BARBALHA,2021-09,25.0,Perfect
BARBALHA,2021-10,25.0,Perfect
BARBALHA,2021-11,25.0,Perfect
BARBALHA,2021-12,25.0,Perfect
BARBALHA,2023-01,25.0,Perfect
BARBALHA,2023-02,25.0,Perfect
BARBALHA,2023-03,25.0,Perfect
BARBALHA,2023-04,25.0,Perfect
BARBALHA,2023-05,25.0,Perfect
BARBALHA,2023-06,24.0,Perfect
BARBALHA,2023-07,24.0,Perfect
BARBALHA,2023-08,25.0,Perfect
BARBALHA,2023-09,26.0,Perfect
BARBALHA,2023-10,26.0,Perfect
BARBALHA,2023-11,27.0,Perfect
BARBALHA,2023-12,26.0,Perfect
CAMPOS SALES,2019-01,25.0,Perfect
CAMPOS SALES,2019-02,26.0,Perfect
CAMPOS SALES,2019-03,25.0,Perfect
CAMPOS SALES,2019-04,24.0,Perfect
CAMPOS SALES,2019-05,24.0,Perfect
CAMPOS SALES,2019-06,24.0,Perfect
CAMPOS SALES,2019-07,24.0,Perfect
CAMPOS SALES,2019-08,25.0,Perfect
CAMPOS SALES,2019-09,27.0,Perfect
CAMPOS SALES,2019-10,28.0,Perfect
CAMPOS SALES,2019-11,25.0,Perfect
CAMPOS SALES,2019-12,28.0,Perfect
CAMPOS SALES,2020-01,25.0,Perfect
CAMPOS SALES,2020-02,24.0,Perfect
CAMPOS SALES,2020-03,24.0,Perfect
CAMPOS SALES,2020-04,25.0,Perfect
CAMPOS SALES,2020-05,25.0,Perfect
CAMPOS SALES,2020-06,25.0,Perfect
CAMPOS SALES,2020-07,25.0,Perfect
CAMPOS SALES,2020-08,25.0,Perfect
CAMPOS SALES,2020-09,25.0,Perfect
CAMPOS SALES,2020-10,25.0,Perfect
CAMPOS SALES,2020-11,25.0,Perfect
