City,Period,Temperature,Status
ARCO VERDE,2019/01/01,26.0,Perfect
ARCO VERDE,2019/01/02,26.0,Perfect
ARCO VERDE,2019/01/03,26.0,Perfect
ARCO VERDE,2019/01/04,25.0,Perfect
ARCO VERDE,2019/01/05,26.0,Perfect
ARCO VERDE,2019/01/06,24.0,Regular
ARCO VERDE,2019/01/07,23.0,Regular
ARCO VERDE,2019/01/08,24.0,Regular
ARCO VERDE,2019/01/09,25.0,Perfect
ARCO VERDE,2019/01/10,25.0,Perfect
ARCO VERDE,2019/01/11,25.0,Perfect
ARCO VERDE,2019/01/12,24.0,Regular
ARCO VERDE,2019/01/13,26.0,Perfect
ARCO VERDE,2019/01/14,26.0,Perfect
ARCO VERDE,2019/01/15,25.0,Perfect
ARCO VERDE,2019/01/16,25.0,Perfect
ARCO VERDE,2019/01/17,24.0,Regular
ARCO VERDE,2019/01/18,24.0,Regular
ARCO VERDE,2019/01/19,25.0,Perfect
ARCO VERDE,2019/01/20,26.0,Perfect
ARCO VERDE,2019/01/21,26.0,Perfect
ARCO VERDE,2019/01/22,24.0,Regular
ARCO VERDE,2019/01/23,25.0,Perfect
ARCO VERDE,2019/01/24,26.0,Perfect
ARCO VERDE,2019/01/25,26.0,Perfect
ARCO VERDE,2019/01/26,25.0,Perfect
ARCO VERDE,2019/01/27,26.0,Perfect
ARCO VERDE,2019/01/28,23.0,Regular
ARCO VERDE,2019/01/29,25.0,Perfect
ARCO VERDE,2019/01/30,25.0,Perfect
ARCO VERDE,2019/01/31,25.0,Perfect
ARCO VERDE,2019/02/01,26.0,Perfect
ARCO VERDE,2019/02/02,26.0,Perfect
ARCO VERDE,2019/02/03,26.0,Perfect
ARCO VERDE,2019/02/04,25.0,Perfect
ARCO VERDE,2019/02/05,25.0,Perfect
ARCO VERDE,2019/02/06,25.0,Perfect
ARCO VERDE,2019/02/07,26.0,Perfect
ARCO VERDE,2019/02/08,25.0,Perfect
ARCO VERDE,2019/02/09,25.0,Perfect
ARCO VERDE,2019/02/10,25.0,Perfect
ARCO VERDE,2019/02/11,25.0,Perfect
ARCO VERDE,2019/02/12,26.0,Perfect
ARCO VERDE,2019/02/13,25.0,Perfect
ARCO VERDE,2019/02/14,26.0,Perfect
ARCO VERDE,2019/02/15,25.0,Perfect
ARCO VERDE,2019/02/16,25.0,Perfect
ARCO VERDE,2019/02/17,25.0,Perfect
ARCO VERDE,2019/02/18,27.0,Perfect
ARCO VERDE,2019/02/19,26.0,Perfect
ARCO VERDE,2019/02/20,26.0,Perfect
ARCO VERDE,2019/02/21,26.0,Perfect
ARCO VERDE,2019/02/22,26.0,Perfect
ARCO VERDE,2019/02/23,27.0,Perfect
ARCO VERDE,2019/02/24,27.0,Perfect
ARCO VERDE,2019/02/25,27.0,Perfect
ARCO VERDE,2019/02/26,26.0,Perfect
ARCO VERDE,2019/02/27,26.0,Perfect
ARCO VERDE,2019/02/28,26.0,Perfect
ARCO VERDE,2019/03/01,26.0,Perfect
ARCO VERDE,2019/03/02,26.0,Perfect
ARCO VERDE,2019/03/03,25.0,Perfect
ARCO VERDE,2019/03/04,24.0,Regular
ARCO VERDE,2019/03/05,25.0,Perfect
ARCO VERDE,2019/03/06,25.0,Perfect
ARCO VERDE,2019/03/07,26.0,Perfect
ARCO VERDE,2019/03/08,26.0,Perfect
ARCO VERDE,2019/03/09,26.0,Perfect
ARCO VERDE,2019/03/10,26.0,Perfect
ARCO VERDE,2019/03/11,27.0,Perfect
ARCO VERDE,2019/03/12,25.0,Perfect
ARCO VERDE,2019/03/13,25.0,Perfect
ARCO VERDE,2019/03/14,24.0,Regular
ARCO VERDE,2019/03/15,26.0,Perfect
ARCO VERDE,2019/03/16,25.0,Perfect
ARCO VERDE,2019/03/17,26.0,Perfect
ARCO VERDE,2019/03/18,25.0,Perfect
ARCO VERDE,2019/03/19,26.0,Perfect
ARCO VERDE,2019/03/20,26.0,Perfect
ARCO VERDE,2019/03/21,26.0,Perfect
ARCO VERDE,2019/03/22,27.0,Perfect
ARCO VERDE,2019/03/23,25.0,Perfect
ARCO VERDE,2019/03/24,24.0,Regular
ARCO VERDE,2019/03/25,25.0,Perfect
ARCO VERDE,2019/03/26,24.0,Regular
ARCO VERDE,2019/03/27,24.0,Regular
ARCO VERDE,2019/03/28,24.0,Regular
ARCO VERDE,2019/03/29,25.0,Perfect
ARCO VERDE,2019/03/30,24.0,Regular
ARCO VERDE,2019/03/31,23.0,Regular
ARCO VERDE,2019/04/01,24.0,Regular
ARCO VERDE,2019/04/02,24.0,Regular
ARCO VERDE,2019/04/03,25.0,Perfect
ARCO VERDE,2019/04/04,25.0,Perfect
ARCO VERDE,2019/04/05,25.0,Perfect
ARCO VERDE,2019/04/06,24.0,Regular
ARCO VERDE,2019/04/07,23.0,Regular
ARCO VERDE,2019/04/08,24.0,Regular
ARCO VERDE,2019/04/09,25.0,Perfect
ARCO VERDE,2019/04/10,25.0,Perfect
ARCO VERDE,2019/04/11,25.0,Perfect
ARCO VERDE,2019/04/12,25.0,Perfect
ARCO VERDE,2019/04/13,25.0,Perfect
ARCO VERDE,2019/04/14,24.0,Regular
ARCO VERDE,2019/04/15,24.0,Regular
ARCO VERDE,2019/04/16,25.0,Perfect
ARCO VERDE,2019/04/17,25.0,Perfect
ARCO VERDE,2019/04/18,25.0,Perfect
ARCO VERDE,2019/04/19,27.0,Perfect
ARCO VERDE,2019/04/20,26.0,Perfect
ARCO VERDE,2019/04/21,26.0,Perfect
ARCO VERDE,2019/04/22,24.0,Regular
ARCO VERDE,2019/04/23,24.0,Regular
ARCO VERDE,2019/04/24,24.0,Regular
ARCO VERDE,2019/04/25,24.0,Regular
ARCO VERDE,2019/04/26,24.0,Regular
ARCO VERDE,2019/04/27,24.0,Regular
ARCO VERDE,2019/04/28,25.0,Perfect
ARCO VERDE,2019/04/29,25.0,Perfect
ARCO VERDE,2019/04/30,25.0,Perfect
ARCO VERDE,2019/05/01,25.0,Perfect
ARCO VERDE,2019/05/02,25.0,Perfect
ARCO VERDE,2019/05/03,24.0,Regular
ARCO VERDE,2019/05/04,24.0,Regular
ARCO VERDE,2019/05/05,24.0,Regular
ARCO VERDE,2019/05/06,24.0,Regular
ARCO VERDE,2019/05/07,25.0,Perfect
ARCO VERDE,2019/05/08,24.0,Regular
ARCO VERDE,2019/05/09,23.0,Regular
ARCO VERDE,2019/05/10,24.0,Regular
ARCO VERDE,2019/05/11,24.0,Regular
ARCO VERDE,2019/05/12,23.0,Regular
ARCO VERDE,2019/05/13,23.0,Regular
ARCO VERDE,2019/05/14,24.0,Regular
ARCO VERDE,2019/05/15,25.0,Perfect
ARCO VERDE,2019/05/16,25.0,Perfect
ARCO VERDE,2019/05/17,25.0,Perfect
ARCO VERDE,2019/05/18,25.0,Perfect
ARCO VERDE,2019/05/19,23.0,Regular
ARCO VERDE,2019/05/20,24.0,Regular
ARCO VERDE,2019/05/21,23.0,Regular
ARCO VERDE,2019/05/22,24.0,Regular
ARCO VERDE,2019/05/23,24.0,Regular
ARCO VERDE,2019/05/24,24.0,Regular
ARCO VERDE,2019/05/25,24.0,Regular
ARCO VERDE,2019/05/26,24.0,Regular
ARCO VERDE,2019/05/27,24.0,Regular
ARCO VERDE,2019/05/28,23.0,Regular
ARCO VERDE,2019/05/29,24.0,Regular
ARCO VERDE,2019/05/30,24.0,Regular
ARCO VERDE,2019/05/31,25.0,Perfect
ARCO VERDE,2019/06/01,24.0,Regular
ARCO VERDE,2019/06/02,24.0,Regular
ARCO VERDE,2019/06/03,23.0,Regular
ARCO VERDE,2019/06/04,24.0,Regular
ARCO VERDE,2019/06/05,23.0,Regular
ARCO VERDE,2019/06/06,24.0,Regular
ARCO VERDE,2019/06/07,22.0,Regular
ARCO VERDE,2019/06/08,22.0,Regular
ARCO VERDE,2019/06/09,22.0,Regular
ARCO VERDE,2019/06/10,22.0,Regular
ARCO VERDE,2019/06/11,22.0,Regular
ARCO VERDE,2019/06/12,23.0,Regular
ARCO VERDE,2019/06/13,22.0,Regular
ARCO VERDE,2019/06/14,22.0,Regular
ARCO VERDE,2019/06/15,23.0,Regular
ARCO VERDE,2019/06/16,21.0,Regular
ARCO VERDE,2019/06/17,21.0,Regular
ARCO VERDE,2019/06/18,21.0,Regular
ARCO VERDE,2019/06/19,22.0,Regular
ARCO VERDE,2019/06/20,22.0,Regular
ARCO VERDE,2019/06/21,22.0,Regular
ARCO VERDE,2019/06/22,22.0,Regular
ARCO VERDE,2019/06/23,21.0,Regular
ARCO VERDE,2019/06/24,21.0,Regular
ARCO VERDE,2019/06/25,22.0,Regular
ARCO VERDE,2019/06/26,22.0,Regular
ARCO VERDE,2019/06/27,21.0,Regular
ARCO VERDE,2019/06/28,21.0,Regular
ARCO VERDE,2019/06/29,21.0,Regular
ARCO VERDE,2019/06/30,21.0,Regular
ARCO VERDE,2019/07/01,20.0,Regular
ARCO VERDE,2019/07/02,21.0,Regular
ARCO VERDE,2019/07/03,22.0,Regular
ARCO VERDE,2019/07/04,24.0,Regular
ARCO VERDE,2019/07/05,24.0,Regular
ARCO VERDE,2019/07/06,24.0,Regular
ARCO VERDE,2019/07/07,23.0,Regular
ARCO VERDE,2019/07/08,20.0,Regular
ARCO VERDE,2019/07/09,21.0,Regular
ARCO VERDE,2019/07/10,21.0,Regular
ARCO VERDE,2019/07/11,21.0,Regular
ARCO VERDE,2019/07/12,22.0,Regular
ARCO VERDE,2019/07/13,19.0,Regular
ARCO VERDE,2019/07/14,21.0,Regular
ARCO VERDE,2019/07/15,21.0,Regular
ARCO VERDE,2019/07/16,20.0,Regular
ARCO VERDE,2019/07/17,22.0,Regular
ARCO VERDE,2019/07/18,21.0,Regular
ARCO VERDE,2019/07/19,20.0,Regular
ARCO VERDE,2019/07/20,19.0,Regular
ARCO VERDE,2019/07/21,20.0,Regular
ARCO VERDE,2019/07/22,19.0,Regular
ARCO VERDE,2019/07/23,19.0,Regular
ARCO VERDE,2019/07/24,19.0,Regular
ARCO VERDE,2019/07/25,21.0,Regular
ARCO VERDE,2019/07/26,20.0,Regular
ARCO VERDE,2019/07/27,20.0,Regular
ARCO VERDE,2019/07/28,20.0,Regular
ARCO VERDE,2019/07/29,20.0,Regular
ARCO VERDE,2019/07/30,20.0,Regular
ARCO VERDE,2019/07/31,21.0,Regular
ARCO VERDE,2019/08/01,20.0,Regular
ARCO VERDE,2019/08/02,20.0,Regular
ARCO VERDE,2019/08/03,21.0,Regular
ARCO VERDE,2019/08/04,21.0,Regular
ARCO VERDE,2019/08/05,20.0,Regular
ARCO VERDE,2019/08/06,19.0,Regular
ARCO VERDE,2019/08/07,21.0,Regular
ARCO VERDE,2019/08/08,19.0,Regular
ARCO VERDE,2019/08/09,20.0,Regular
ARCO VERDE,2019/08/10,21.0,Regular
ARCO VERDE,2019/08/11,22.0,Regular
ARCO VERDE,2019/08/12,20.0,Regular
ARCO VERDE,2019/08/13,21.0,Regular
ARCO VERDE,2019/08/14,21.0,Regular
ARCO VERDE,2019/08/15,20.0,Regular
ARCO VERDE,2019/08/16,19.0,Regular
ARCO VERDE,2019/08/17,20.0,Regular
ARCO VERDE,2019/08/18,20.0,Regular
ARCO VERDE,2019/08/19,22.0,Regular
ARCO VERDE,2019/08/20,22.0,Regular
ARCO VERDE,2019/08/21,22.0,Regular
ARCO VERDE,2019/08/22,21.0,Regular
ARCO VERDE,2019/08/23,21.0,Regular
ARCO VERDE,2019/08/24,20.0,Regular
ARCO VERDE,2019/08/25,21.0,Regular
ARCO VERDE,2019/08/26,22.0,Regular
ARCO VERDE,2019/08/27,20.0,Regular
ARCO VERDE,2019/08/28,21.0,Regular
ARCO VERDE,2019/08/29,20.0,Regular
ARCO VERDE,2019/08/30,21.0,Regular
ARCO VERDE,2019/08/31,22.0,Regular
ARCO VERDE,2019/09/01,22.0,Regular
ARCO VERDE,2019/09/02,23.0,Regular
ARCO VERDE,2019/09/03,22.0,Regular
ARCO VERDE,2019/09/04,22.0,Regular
ARCO VERDE,2019/09/05,23.0,Regular
ARCO VERDE,2019/09/06,22.0,Regular
ARCO VERDE,2019/09/07,21.0,Regular
ARCO VERDE,2019/09/08,21.0,Regular
ARCO VERDE,2019/09/09,22.0,Regular
ARCO VERDE,2019/09/10,23.0,Regular
ARCO VERDE,2019/09/11,22.0,Regular
ARCO VERDE,2019/09/12,23.0,Regular
ARCO VERDE,2019/09/13,23.0,Regular
ARCO VERDE,2019/09/14,23.0,Regular
ARCO VERDE,2019/09/15,23.0,Regular
ARCO VERDE,2019/09/16,22.0,Regular
ARCO VERDE,2019/09/17,22.0,Regular
ARCO VERDE,2019/09/18,23.0,Regular
ARCO VERDE,2019/09/19,23.0,Regular
ARCO VERDE,2019/09/20,23.0,Regular
ARCO VERDE,2019/09/21,24.0,Regular
ARCO VERDE,2019/09/22,24.0,Regular
ARCO VERDE,2019/09/23,23.0,Regular
ARCO VERDE,2019/09/24,23.0,Regular
ARCO VERDE,2019/09/25,23.0,Regular
ARCO VERDE,2019/09/26,23.0,Regular
ARCO VERDE,2019/09/27,24.0,Regular
ARCO VERDE,2019/09/28,26.0,Perfect
ARCO VERDE,2019/09/29,24.0,Regular
ARCO VERDE,2019/09/30,24.0,Regular
ARCO VERDE,2019/10/01,25.0,Perfect
ARCO VERDE,2019/10/02,24.0,Regular
ARCO VERDE,2019/10/03,24.0,Regular
ARCO VERDE,2019/10/04,24.0,Regular
ARCO VERDE,2019/10/05,24.0,Regular
ARCO VERDE,2019/10/06,25.0,Perfect
ARCO VERDE,2019/10/07,25.0,Perfect
ARCO VERDE,2019/10/08,24.0,Regular
ARCO VERDE,2019/10/09,24.0,Regular
ARCO VERDE,2019/10/10,24.0,Regular
ARCO VERDE,2019/10/11,24.0,Regular
ARCO VERDE,2019/10/12,24.0,Regular
ARCO VERDE,2019/10/13,24.0,Regular
ARCO VERDE,2019/10/14,23.0,Regular
ARCO VERDE,2019/10/15,24.0,Regular
ARCO VERDE,2019/10/16,24.0,Regular
ARCO VERDE,2019/10/17,24.0,Regular
ARCO VERDE,2019/10/18,24.0,Regular
ARCO VERDE,2019/10/19,25.0,Perfect
ARCO VERDE,2019/10/20,25.0,Perfect
ARCO VERDE,2019/10/21,27.0,Perfect
ARCO VERDE,2019/10/22,27.0,Perfect
ARCO VERDE,2019/10/23,26.0,Perfect
ARCO VERDE,2019/10/24,26.0,Perfect
ARCO VERDE,2019/10/25,25.0,Perfect
ARCO VERDE,2019/10/26,25.0,Perfect
ARCO VERDE,2019/10/27,26.0,Perfect
ARCO VERDE,2019/10/28,25.0,Perfect
ARCO VERDE,2019/10/29,24.0,Regular
ARCO VERDE,2019/10/30,24.0,Regular
ARCO VERDE,2019/10/31,25.0,Perfect
ARCO VERDE,2019/11/01,25.0,Perfect
ARCO VERDE,2019/11/02,25.0,Perfect
ARCO VERDE,2019/11/03,25.0,Perfect
ARCO VERDE,2019/11/04,26.0,Perfect
ARCO VERDE,2019/11/05,26.0,Perfect
ARCO VERDE,2019/11/06,26.0,Perfect
