City,Period,Temperature,Status
ARCO VERDE,2019-01,25.0,Perfect
ARCO VERDE,2019-02,26.0,Perfect
ARCO VERDE,2019-03,25.0,Perfect
ARCO VERDE,2019-04,25.0,Perfect
ARCO VERDE,2019-05,24.0,Regular
ARCO VERDE,2019-06,22.0,Regular
ARCO VERDE,2019-07,21.0,Regular
ARCO VERDE,2019-08,21.0,Regular
ARCO VERDE,2019-09,23.0,Regular
ARCO VERDE,2019-10,25.0,Perfect
ARCO VERDE,2019-11,26.0,Perfect
ARCO VERDE,2019-12,26.0,Perfect
ARCO VERDE,2020-01,26.0,Perfect
ARCO VERDE,2020-02,26.0,Perfect
ARCO VERDE,2020-03,24.0,Regular
ARCO VERDE,2020-04,24.0,Regular
ARCO VERDE,2020-05,22.0,Regular
ARCO VERDE,2020-06,21.0,Regular
ARCO VERDE,2020-07,20.0,Regular
ARCO VERDE,2020-08,21.0,Regular
ARCO VERDE,2020-09,22.0,Regular
ARCO VERDE,2020-10,26.0,Perfect
ARCO VERDE,2020-11,29.0,Perfect
ARCO VERDE,2020-12,25.0,Perfect
ARCO VERDE,2022-01,26.0,Perfect
ARCO VERDE,2022-02,30.0,Perfect
ARCO VERDE,2022-03,29.0,Perfect
ARCO VERDE,2022-04,28.0,Perfect
ARCO VERDE,2022-05,26.0,Perfect
ARCO VERDE,2022-06,25.0,Perfect
ARCO VERDE,2022-07,24.0,Regular
ARCO VERDE,2022-08,23.0,Regular
ARCO VERDE,2022-09,22.0,Regular
ARCO VERDE,2022-10,24.0,Regular
ARCO VERDE,2022-11,24.0,Regular
ARCO VERDE,2022-12,24.0,Regular
ARCO VERDE,2023-01,25.0,Perfect
ARCO VERDE,2023-02,25.0,Perfect
ARCO VERDE,2023-03,24.0,Regular
ARCO VERDE,2023-04,24.0,Regular
ARCO VERDE,2023-05,23.0,Regular
ARCO VERDE,2023-06,21.0,Regular
ARCO VERDE,2023-07,21.0,Regular
ARCO VERDE,2023-08,22.0,Regular
ARCO VERDE,2023-09,23.0,Regular
ARCO VERDE,2023-10,25.0,Perfect
ARCO VERDE,2023-11,26.0,Perfect
ARCO VERDE,2023-12,25.0,Perfect
CABROBO,2019-01,31.0,Perfect
CABROBO,2019-02,31.0,Perfect
CABROBO,2019-03,29.0,Perfect
CABROBO,2019-04,28.0,Perfect
CABROBO,2019-05,28.0,Perfect
CABROBO,2019-06,25.0,Perfect
CABROBO,2019-07,24.0,Regular
CABROBO,2019-08,25.0,Perfect
CABROBO,2019-09,27.0,Perfect
CABROBO,2019-10,29.0,Perfect
CABROBO,2019-11,30.0,Perfect
CABROBO,2019-12,30.0,Perfect
CABROBO,2020-01,29.0,Perfect
CABROBO,2020-02,28.0,Perfect
CABROBO,2020-03,27.0,Perfect
CABROBO,2020-04,27.0,Perfect
CABROBO,2020-05,26.0,Perfect
CABROBO,2020-06,25.0,Perfect
CABROBO,2020-07,24.0,Regular
CABROBO,2020-08,25.0,Perfect
CABROBO,2020-09,27.0,Perfect
CABROBO,2020-10,29.0,Perfect
CABROBO,2020-11,28.0,Perfect
CABROBO,2020-12,29.0,Perfect
CABROBO,2021-01,28.0,Perfect
CABROBO,2021-02,28.0,Perfect
CABROBO,2021-03,28.0,Perfect
CABROBO,2021-04,27.0,Perfect
CABROBO,2021-05,26.0,Perfect
CABROBO,2021-06,25.0,Perfect
CABROBO,2021-07,25.0,Perfect
CABROBO,2021-08,25.0,Perfect
CABROBO,2021-09,27.0,Perfect
CABROBO,2021-10,29.0,Perfect
CABROBO,2021-11,30.0,Perfect
CABROBO,2021-12,31.0,Perfect
CABROBO,2022-01,28.0,Perfect
CABROBO,2022-02,28.0,Perfect
CABROBO,2022-03,27.0,Perfect
CABROBO,2022-04,27.0,Perfect
CABROBO,2022-05,27.0,Perfect
CABROBO,2022-06,27.0,Perfect
CABROBO,2022-07,27.0,Perfect
CABROBO,2022-08,27.0,Perfect
CABROBO,2022-09,26.0,Perfect
CABROBO,2022-10,28.0,Perfect
CABROBO,2022-11,27.0,Perfect
CABROBO,2022-12,27.0,Perfect
CABROBO,2023-01,28.0,Perfect
CABROBO,2023-02,29.0,Perfect
CABROBO,2023-03,27.0,Perfect
CABROBO,2023-04,27.0,Perfect
CABROBO,2023-05,26.0,Perfect
CABROBO,2023-06,25.0,Perfect
CABROBO,2023-07,25.0,Perfect
CABROBO,2023-08,27.0,Perfect
CABROBO,2023-09,27.0,Perfect
CABROBO,2023-10,29.0,Perfect
CABROBO,2023-11,30.0,Perfect
CABROBO,2023-12,30.0,Perfect
CARUARU,2019-01,22.0,Regular
CARUARU,2019-02,23.0,Regular
CARUARU,2019-03,23.0,Regular
CARUARU,2019-04,22.0,Regular
CARUARU,2019-05,22.0,Regular
CARUARU,2019-06,20.0,Regular
CARUARU,2019-07,19.0,Regular
CARUARU,2019-08,19.0,Regular
CARUARU,2019-09,20.0,Regular
CARUARU,2019-10,21.0,Regular
CARUARU,2019-11,22.0,Regular
CARUARU,2019-12,22.0,Regular
CARUARU,2020-01,23.0,Regular
CARUARU,2020-02,23.0,Regular
CARUARU,2020-03,23.0,Regular
CARUARU,2020-04,22.0,Regular
CARUARU,2020-05,21.0,Regular
CARUARU,2020-06,20.0,Regular
CARUARU,2020-07,19.0,Regular
CARUARU,2020-08,19.0,Regular
CARUARU,2020-09,19.0,Regular
CARUARU,2020-10,21.0,Regular
CARUARU,2020-11,22.0,Regular
CARUARU,2020-12,22.0,Regular
CARUARU,2022-01,19.0,Regular
CARUARU,2022-02,19.0,Regular
CARUARU,2022-03,19.0,Regular
CARUARU,2022-04,19.0,Regular
CARUARU,2022-05,19.0,Regular
CARUARU,2022-06,20.0,Regular
CARUARU,2022-07,19.0,Regular
CARUARU,2022-08,19.0,Regular
CARUARU,2022-09,20.0,Regular
CARUARU,2022-10,19.0,Regular
CARUARU,2022-11,19.0,Regular
CARUARU,2022-12,19.0,Regular
CARUARU,2023-01,21.0,Regular
CARUARU,2023-02,21.0,Regular
CARUARU,2023-03,21.0,Regular
CARUARU,2023-04,21.0,Regular
CARUARU,2023-05,21.0,Regular
CARUARU,2023-06,20.0,Regular
CARUARU,2023-07,19.0,Regular
CARUARU,2023-08,20.0,Regular
CARUARU,2023-09,20.0,Regular
CARUARU,2023-10,21.0,Regular
CARUARU,2023-11,22.0,Regular
CARUARU,2023-12,22.0,Regular
FLORESTA,2019-01,29.0,Perfect
FLORESTA,2019-02,29.0,Perfect
FLORESTA,2019-03,28.0,Perfect
FLORESTA,2019-04,27.0,Perfect
FLORESTA,2019-05,28.0,Perfect
FLORESTA,2019-06,25.0,Perfect
FLORESTA,2019-07,24.0,Regular
FLORESTA,2019-08,24.0,Regular
FLORESTA,2019-09,27.0,Perfect
FLORESTA,2019-10,29.0,Perfect
FLORESTA,2019-11,30.0,Perfect
FLORESTA,2019-12,30.0,Perfect
FLORESTA,2020-01,29.0,Perfect
FLORESTA,2020-02,28.0,Perfect
FLORESTA,2020-03,27.0,Perfect
FLORESTA,2020-04,27.0,Perfect
FLORESTA,2020-05,26.0,Perfect
FLORESTA,2020-06,24.0,Regular
FLORESTA,2020-07,24.0,Regular
FLORESTA,2020-08,25.0,Perfect
FLORESTA,2020-09,26.0,Perfect
FLORESTA,2020-10,29.0,Perfect
FLORESTA,2020-11,28.0,Perfect
FLORESTA,2020-12,29.0,Perfect
FLORESTA,2021-01,29.0,Perfect
FLORESTA,2021-02,29.0,Perfect
FLORESTA,2021-03,29.0,Perfect
FLORESTA,2021-04,27.0,Perfect
FLORESTA,2021-05,25.0,Perfect
FLORESTA,2021-06,25.0,Perfect
FLORESTA,2021-07,25.0,Perfect
FLORESTA,2021-08,25.0,Perfect
FLORESTA,2021-09,27.0,Perfect
FLORESTA,2021-10,27.0,Perfect
FLORESTA,2021-11,27.0,Perfect
FLORESTA,2021-12,27.0,Perfect
FLORESTA,2022-01,27.0,Perfect
FLORESTA,2022-02,27.0,Perfect
FLORESTA,2022-03,27.0,Perfect
FLORESTA,2022-04,27.0,Perfect
FLORESTA,2022-05,27.0,Perfect
FLORESTA,2022-06,27.0,Perfect
FLORESTA,2022-07,27.0,Perfect
FLORESTA,2022-08,27.0,Perfect
FLORESTA,2022-09,26.0,Perfect
FLORESTA,2022-10,28.0,Perfect
FLORESTA,2022-11,28.0,Perfect
FLORESTA,2022-12,27.0,Perfect
FLORESTA,2023-01,28.0,Perfect
FLORESTA,2023-02,29.0,Perfect
FLORESTA,2023-03,28.0,Perfect
FLORESTA,2023-04,28.0,Perfect
FLORESTA,2023-05,26.0,Perfect
FLORESTA,2023-06,25.0,Perfect
FLORESTA,2023-07,25.0,Perfect
FLORESTA,2023-08,26.0,Perfect
FLORESTA,2023-09,27.0,Perfect
FLORESTA,2023-10,29.0,Perfect
FLORESTA,2023-11,30.0,Perfect
FLORESTA,2023-12,30.0,Perfect
GARANHUNS,2019-01,22.0,Regular
GARANHUNS,2019-02,24.0,Regular
GARANHUNS,2019-03,23.0,Regular
GARANHUNS,2019-04,23.0,Regular
GARANHUNS,2019-05,22.0,Regular
GARANHUNS,2019-06,20.0,Regular
GARANHUNS,2019-07,19.0,Regular
GARANHUNS,2019-08,19.0,Regular
GARANHUNS,2019-09,20.0,Regular
GARANHUNS,2019-10,22.0,Regular
GARANHUNS,2019-11,23.0,Regular
GARANHUNS,2019-12,23.0,Regular
