City,Period,Temperature,Status
ALVORADA DO GURGUEIA,2019-01,27.0,Perfect
ALVORADA DO GURGUEIA,2019-02,26.0,Perfect
ALVORADA DO GURGUEIA,2019-03,26.0,Perfect
ALVORADA DO GURGUEIA,2019-04,26.0,Perfect
ALVORADA DO GURGUEIA,2019-05,27.0,Perfect
ALVORADA DO GURGUEIA,2019-06,27.0,Perfect
ALVORADA DO GURGUEIA,2019-07,28.0,Perfect
ALVORADA DO GURGUEIA,2019-08,31.0,Perfect
ALVORADA DO GURGUEIA,2019-09,30.0,Perfect
ALVORADA DO GURGUEIA,2019-10,30.0,Perfect
ALVORADA DO GURGUEIA,2019-11,30.0,Perfect
ALVORADA DO GURGUEIA,2019-12,29.0,Perfect
ALVORADA DO GURGUEIA,2020-01,26.0,Perfect
ALVORADA DO GURGUEIA,2020-02,26.0,Perfect
ALVORADA DO GURGUEIA,2020-03,26.0,Perfect
ALVORADA DO GURGUEIA,2020-04,26.0,Perfect
ALVORADA DO GURGUEIA,2020-05,26.0,Perfect
ALVORADA DO GURGUEIA,2020-06,26.0,Perfect
ALVORADA DO GURGUEIA,2020-07,26.0,Perfect
ALVORADA DO GURGUEIA,2020-08,28.0,Perfect
ALVORADA DO GURGUEIA,2020-09,30.0,Perfect
ALVORADA DO GURGUEIA,2020-10,30.0,Perfect
ALVORADA DO GURGUEIA,2020-11,27.0,Perfect
ALVORADA DO GURGUEIA,2020-12,28.0,Perfect
ALVORADA DO GURGUEIA,2021-01,28.0,Perfect
ALVORADA DO GURGUEIA,2021-02,26.0,Perfect
ALVORADA DO GURGUEIA,2021-03,25.0,Perfect
ALVORADA DO GURGUEIA,2021-04,26.0,Perfect
ALVORADA DO GURGUEIA,2021-05,29.0,Perfect
ALVORADA DO GURGUEIA,2021-06,28.0,Perfect
ALVORADA DO GURGUEIA,2021-07,29.0,Perfect
ALVORADA DO GURGUEIA,2021-08,27.0,Perfect
ALVORADA DO GURGUEIA,2021-09,30.0,Perfect
ALVORADA DO GURGUEIA,2021-10,29.0,Perfect
ALVORADA DO GURGUEIA,2021-11,26.0,Perfect
