City,Period,Temperature,Status
APODI,2019-01,28.0,Perfect
APODI,2019-02,28.0,Perfect
APODI,2019-03,28.0,Perfect
APODI,2019-04,27.0,Perfect
APODI,2019-05,27.0,Perfect
APODI,2019-06,27.0,Perfect
APODI,2019-07,27.0,Perfect
APODI,2019-08,28.0,Perfect
APODI,2019-09,28.0,Perfect
APODI,2019-10,29.0,Perfect
APODI,2019-11,29.0,Perfect
APODI,2019-12,30.0,Perfect
APODI,2020-01,29.0,Perfect
APODI,2020-02,27.0,Perfect
APODI,2020-03,27.0,Perfect
APODI,2020-04,27.0,Perfect
APODI,2020-05,26.0,Perfect
APODI,2020-06,26.0,Perfect
APODI,2020-07,26.0,Perfect
APODI,2020-08,27.0,Perfect
APODI,2020-09,28.0,Perfect
APODI,2020-10,29.0,Perfect
APODI,2020-11,29.0,Perfect
APODI,2020-12,29.0,Perfect
APODI,2021-01,29.0,Perfect
APODI,2021-02,28.0,Perfect
APODI,2021-03,27.0,Perfect
APODI,2021-04,27.0,Perfect
APODI,2021-05,27.0,Perfect
APODI,2021-06,27.0,Perfect
APODI,2021-07,28.0,Perfect
APODI,2021-08,29.0,Perfect
APODI,2021-09,29.0,Perfect
APODI,2021-10,29.0,Perfect
APODI,2021-11,28.0,Perfect
APODI,2021-12,28.0,Perfect
APODI,2022-01,28.0,Perfect
APODI,2022-02,28.0,Perfect
APODI,2022-03,28.0,Perfect
APODI,2022-04,28.0,Perfect
APODI,2022-05,28.0,Perfect
APODI,2022-06,28.0,Perfect
APODI,2022-07,28.0,Perfect
APODI,2022-08,28.0,Perfect
APODI,2022-09,28.0,Perfect
APODI,2022-10,29.0,Perfect
APODI,2022-11,28.0,Perfect
APODI,2022-12,28.0,Perfect
APODI,2023-01,29.0,Perfect
APODI,2023-02,28.0,Perfect
APODI,2023-03,27.0,Perfect
APODI,2023-04,26.0,Perfect
APODI,2023-05,27.0,Perfect
APODI,2023-06,27.0,Perfect
APODI,2023-07,27.0,Perfect
APODI,2023-08,28.0,Perfect
APODI,2023-09,29.0,Perfect
APODI,2023-10,29.0,Perfect
APODI,2023-11,29.0,Perfect
APODI,2023-12,29.0,Perfect
ARQ.SAO PEDRO E SAO PAULO,2019-01,27.0,Perfect
ARQ.SAO PEDRO E SAO PAULO,2019-02,27.0,Perfect
ARQ.SAO PEDRO E SAO PAULO,2019-03,27.0,Perfect
ARQ.SAO PEDRO E SAO PAULO,2019-04,27.0,Perfect
ARQ.SAO PEDRO E SAO PAULO,2019-05,29.0,Perfect
ARQ.SAO PEDRO E SAO PAULO,2019-06,28.0,Perfect
ARQ.SAO PEDRO E SAO PAULO,2019-07,27.0,Perfect
ARQ.SAO PEDRO E SAO PAULO,2019-08,27.0,Perfect
ARQ.SAO PEDRO E SAO PAULO,2019-09,27.0,Perfect
ARQ.SAO PEDRO E SAO PAULO,2019-10,27.0,Perfect
ARQ.SAO PEDRO E SAO PAULO,2019-11,28.0,Perfect
ARQ.SAO PEDRO E SAO PAULO,2019-12,28.0,Perfect
