City,Period,Temperature,Status
ARACAJU,2019-01,28.0,Perfect
ARACAJU,2019-02,29.0,Perfect
ARACAJU,2019-03,29.0,Perfect
ARACAJU,2019-04,28.0,Perfect
ARACAJU,2019-05,27.0,Perfect
ARACAJU,2019-06,26.0,Perfect
ARACAJU,2019-07,25.0,Perfect
ARACAJU,2019-08,25.0,Perfect
ARACAJU,2019-09,26.0,Perfect
ARACAJU,2019-10,27.0,Perfect
ARACAJU,2019-11,27.0,Perfect
ARACAJU,2019-12,28.0,Perfect
ARACAJU,2020-01,28.0,Perfect
ARACAJU,2020-02,29.0,Perfect
ARACAJU,2020-03,28.0,Perfect
ARACAJU,2020-04,28.0,Perfect
ARACAJU,2020-05,26.0,Perfect
ARACAJU,2020-06,26.0,Perfect
ARACAJU,2020-07,25.0,Perfect
ARACAJU,2020-08,25.0,Perfect
ARACAJU,2020-09,26.0,Perfect
ARACAJU,2020-10,27.0,Perfect
ARACAJU,2020-11,27.0,Perfect
ARACAJU,2020-12,27.0,Perfect
ARACAJU,2021-01,28.0,Perfect
ARACAJU,2021-02,29.0,Perfect
ARACAJU,2021-03,29.0,Perfect
ARACAJU,2021-04,28.0,Perfect
ARACAJU,2021-05,26.0,Perfect
ARACAJU,2021-06,25.0,Perfect
ARACAJU,2021-07,25.0,Perfect
ARACAJU,2021-08,25.0,Perfect
ARACAJU,2021-09,26.0,Perfect
ARACAJU,2021-10,27.0,Perfect
ARACAJU,2021-11,27.0,Perfect
ARACAJU,2021-12,27.0,Perfect
ARACAJU,2022-01,26.0,Perfect
ARACAJU,2022-02,26.0,Perfect
ARACAJU,2022-03,26.0,Perfect
ARACAJU,2022-04,26.0,Perfect
ARACAJU,2022-05,26.0,Perfect
ARACAJU,2022-06,26.0,Perfect
ARACAJU,2022-07,26.0,Perfect
ARACAJU,2022-08,26.0,Perfect
ARACAJU,2022-09,26.0,Perfect
ARACAJU,2022-10,26.0,Perfect
ARACAJU,2022-11,26.0,Perfect
ARACAJU,2022-12,26.0,Perfect
ARACAJU,2023-01,27.0,Perfect
ARACAJU,2023-02,28.0,Perfect
ARACAJU,2023-03,27.0,Perfect
ARACAJU,2023-04,27.0,Perfect
ARACAJU,2023-05,26.0,Perfect
ARACAJU,2023-06,25.0,Perfect
ARACAJU,2023-07,25.0,Perfect
ARACAJU,2023-08,25.0,Perfect
ARACAJU,2023-09,26.0,Perfect
ARACAJU,2023-10,26.0,Perfect
ARACAJU,2023-11,26.0,Perfect
ARACAJU,2023-12,27.0,Perfect
BREJO GRANDE,2019-01,27.0,Perfect
BREJO GRANDE,2019-02,28.0,Perfect
BREJO GRANDE,2019-03,28.0,Perfect
BREJO GRANDE,2019-04,27.0,Perfect
BREJO GRANDE,2019-05,26.0,Perfect
BREJO GRANDE,2019-06,25.0,Perfect
BREJO GRANDE,2019-07,25.0,Perfect
BREJO GRANDE,2019-08,24.0,Perfect
BREJO GRANDE,2019-09,25.0,Perfect
BREJO GRANDE,2019-10,26.0,Perfect
BREJO GRANDE,2019-11,27.0,Perfect
BREJO GRANDE,2019-12,27.0,Perfect
BREJO GRANDE,2020-01,28.0,Perfect
BREJO GRANDE,2020-02,28.0,Perfect
BREJO GRANDE,2020-03,28.0,Perfect
BREJO GRANDE,2020-04,27.0,Perfect
BREJO GRANDE,2020-05,26.0,Perfect
BREJO GRANDE,2020-06,25.0,Perfect
BREJO GRANDE,2020-07,26.0,Perfect
BREJO GRANDE,2020-08,27.0,Perfect
BREJO GRANDE,2020-09,27.0,Perfect
BREJO GRANDE,2020-10,27.0,Perfect
BREJO GRANDE,2020-11,27.0,Perfect
BREJO GRANDE,2020-12,27.0,Perfect
BREJO GRANDE,2022-01,25.0,Perfect
BREJO GRANDE,2022-02,25.0,Perfect
BREJO GRANDE,2022-03,25.0,Perfect
BREJO GRANDE,2022-04,25.0,Perfect
BREJO GRANDE,2022-05,25.0,Perfect
BREJO GRANDE,2022-06,25.0,Perfect
BREJO GRANDE,2022-07,25.0,Perfect
BREJO GRANDE,2022-08,25.0,Perfect
BREJO GRANDE,2022-09,25.0,Perfect
BREJO GRANDE,2022-10,25.0,Perfect
BREJO GRANDE,2022-11,25.0,Perfect
BREJO GRANDE,2022-12,25.0,Perfect
BREJO GRANDE,2023-01,27.0,Perfect
BREJO GRANDE,2023-02,27.0,Perfect
BREJO GRANDE,2023-03,27.0,Perfect
BREJO GRANDE,2023-04,27.0,Perfect
BREJO GRANDE,2023-05,27.0,Perfect
BREJO GRANDE,2023-06,27.0,Perfect
BREJO GRANDE,2023-07,27.0,Perfect
BREJO GRANDE,2023-08,27.0,Perfect
BREJO GRANDE,2023-09,27.0,Perfect
BREJO GRANDE,2023-10,27.0,Perfect
BREJO GRANDE,2023-11,27.0,Perfect
BREJO GRANDE,2023-12,27.0,Perfect
CARIRA,2019-01,26.0,Perfect
CARIRA,2019-02,28.0,Perfect
CARIRA,2019-03,27.0,Perfect
CARIRA,2019-04,26.0,Perfect
CARIRA,2019-05,26.0,Perfect
CARIRA,2019-06,23.0,Regular
CARIRA,2019-07,22.0,Regular
CARIRA,2019-08,21.0,Regular
CARIRA,2019-09,23.0,Regular
CARIRA,2019-10,25.0,Perfect
CARIRA,2019-11,26.0,Perfect
CARIRA,2019-12,27.0,Perfect
CARIRA,2020-01,27.0,Perfect
CARIRA,2020-02,27.0,Perfect
CARIRA,2020-03,27.0,Perfect
CARIRA,2020-04,26.0,Perfect
CARIRA,2020-05,24.0,Perfect
CARIRA,2020-06,23.0,Regular
CARIRA,2020-07,21.0,Regular
CARIRA,2020-08,22.0,Regular
CARIRA,2020-09,23.0,Regular
CARIRA,2020-10,25.0,Perfect
CARIRA,2020-11,26.0,Perfect
CARIRA,2020-12,26.0,Perfect
CARIRA,2021-01,26.0,Perfect
CARIRA,2021-02,27.0,Perfect
CARIRA,2021-03,27.0,Perfect
CARIRA,2021-04,26.0,Perfect
CARIRA,2021-05,26.0,Perfect
CARIRA,2021-06,26.0,Perfect
CARIRA,2021-07,26.0,Perfect
CARIRA,2021-08,26.0,Perfect
CARIRA,2021-09,26.0,Perfect
CARIRA,2021-10,26.0,Perfect
CARIRA,2021-11,26.0,Perfect
CARIRA,2021-12,26.0,Perfect
ITABAIANA,2019-01,26.0,Perfect
ITABAIANA,2019-02,27.0,Perfect
ITABAIANA,2019-03,27.0,Perfect
ITABAIANA,2019-04,26.0,Perfect
ITABAIANA,2019-05,25.0,Perfect
ITABAIANA,2019-06,23.0,Regular
ITABAIANA,2019-07,22.0,Regular
ITABAIANA,2019-08,22.0,Regular
ITABAIANA,2019-09,23.0,Regular
ITABAIANA,2019-10,25.0,Perfect
ITABAIANA,2019-11,26.0,Perfect
ITABAIANA,2019-12,27.0,Perfect
ITABAIANA,2020-01,27.0,Perfect
ITABAIANA,2020-02,27.0,Perfect
ITABAIANA,2020-03,27.0,Perfect
ITABAIANA,2020-04,27.0,Perfect
ITABAIANA,2020-05,27.0,Perfect
ITABAIANA,2020-06,27.0,Perfect
ITABAIANA,2020-07,27.0,Perfect
ITABAIANA,2020-08,27.0,Perfect
ITABAIANA,2020-09,27.0,Perfect
ITABAIANA,2020-10,27.0,Perfect
ITABAIANA,2020-11,27.0,Perfect
ITABAIANA,2020-12,27.0,Perfect
ITABAIANINHA,2019-01,26.0,Perfect
ITABAIANINHA,2019-02,28.0,Perfect
ITABAIANINHA,2019-03,27.0,Perfect
ITABAIANINHA,2019-04,26.0,Perfect
ITABAIANINHA,2019-05,25.0,Perfect
ITABAIANINHA,2019-06,23.0,Regular
ITABAIANINHA,2019-07,25.0,Perfect
ITABAIANINHA,2019-08,23.0,Regular
ITABAIANINHA,2019-09,24.0,Perfect
