City,Period,Temperature,Status
ABROLHOS,2019-01,27.0,Perfect
ABROLHOS,2019-02,28.0,Perfect
ABROLHOS,2019-03,28.0,Perfect
ABROLHOS,2019-04,28.0,Perfect
ABROLHOS,2019-05,27.0,Perfect
ABROLHOS,2019-06,25.0,Perfect
ABROLHOS,2019-07,24.0,Regular
ABROLHOS,2019-08,24.0,Regular
ABROLHOS,2019-09,25.0,Perfect
ABROLHOS,2019-10,25.0,Perfect
ABROLHOS,2019-11,26.0,Perfect
ABROLHOS,2019-12,27.0,Perfect
ABROLHOS,2020-01,26.0,Perfect
ABROLHOS,2020-02,27.0,Perfect
ABROLHOS,2020-03,27.0,Perfect
ABROLHOS,2020-04,26.0,Perfect
ABROLHOS,2020-05,25.0,Perfect
ABROLHOS,2020-06,25.0,Perfect
ABROLHOS,2020-07,25.0,Perfect
ABROLHOS,2020-08,24.0,Regular
ABROLHOS,2020-09,25.0,Perfect
ABROLHOS,2020-10,25.0,Perfect
ABROLHOS,2020-11,26.0,Perfect
ABROLHOS,2020-12,26.0,Perfect
ACARAU,2019-01,27.0,Perfect
ACARAU,2019-02,26.0,Perfect
ACARAU,2019-03,25.0,Perfect
ACARAU,2019-04,26.0,Perfect
ACARAU,2019-05,27.0,Perfect
ACARAU,2019-06,27.0,Perfect
ACARAU,2019-07,26.0,Perfect
ACARAU,2019-08,27.0,Perfect
ACARAU,2019-09,27.0,Perfect
ACARAU,2019-10,27.0,Perfect
ACARAU,2019-11,28.0,Perfect
ACARAU,2019-12,28.0,Perfect
ACARAU,2022-01,27.0,Perfect
ACARAU,2022-02,27.0,Perfect
ACARAU,2022-03,27.0,Perfect
ACARAU,2022-04,27.0,Perfect
ACARAU,2022-05,27.0,Perfect
ACARAU,2022-06,27.0,Perfect
ACARAU,2022-07,27.0,Perfect
ACARAU,2022-08,27.0,Perfect
ACARAU,2022-09,27.0,Perfect
ACARAU,2022-10,28.0,Perfect
ACARAU,2022-11,27.0,Perfect
ACARAU,2022-12,27.0,Perfect
ACARAU,2023-01,27.0,Perfect
ACARAU,2023-02,27.0,Perfect
ACARAU,2023-03,26.0,Perfect
ACARAU,2023-04,26.0,Perfect
ACARAU,2023-05,27.0,Perfect
ACARAU,2023-06,27.0,Perfect
ACARAU,2023-07,27.0,Perfect
ACARAU,2023-08,27.0,Perfect
ACARAU,2023-09,28.0,Perfect
ACARAU,2023-10,28.0,Perfect
ACARAU,2023-11,28.0,Perfect
ACARAU,2023-12,28.0,Perfect
ALTO PARNAIBA,2019-01,30.0,Perfect
ALTO PARNAIBA,2019-02,29.0,Perfect
ALTO PARNAIBA,2019-03,29.0,Perfect
ALTO PARNAIBA,2019-04,29.0,Perfect
ALTO PARNAIBA,2019-05,28.0,Perfect
ALTO PARNAIBA,2019-06,26.0,Perfect
ALTO PARNAIBA,2019-07,25.0,Perfect
ALTO PARNAIBA,2019-08,26.0,Perfect
ALTO PARNAIBA,2019-09,28.0,Perfect
ALTO PARNAIBA,2019-10,28.0,Perfect
ALTO PARNAIBA,2019-11,28.0,Perfect
ALTO PARNAIBA,2019-12,27.0,Perfect
ALTO PARNAIBA,2020-01,26.0,Perfect
ALTO PARNAIBA,2020-02,26.0,Perfect
ALTO PARNAIBA,2020-03,26.0,Perfect
ALTO PARNAIBA,2020-04,26.0,Perfect
ALTO PARNAIBA,2020-05,27.0,Perfect
ALTO PARNAIBA,2020-06,25.0,Perfect
ALTO PARNAIBA,2020-07,25.0,Perfect
ALTO PARNAIBA,2020-08,26.0,Perfect
ALTO PARNAIBA,2020-09,28.0,Perfect
ALTO PARNAIBA,2020-10,28.0,Perfect
ALTO PARNAIBA,2020-11,27.0,Perfect
ALTO PARNAIBA,2020-12,27.0,Perfect
ALTO PARNAIBA,2021-01,26.0,Perfect
ALTO PARNAIBA,2021-02,25.0,Perfect
ALTO PARNAIBA,2021-03,26.0,Perfect
ALTO PARNAIBA,2021-04,26.0,Perfect
ALTO PARNAIBA,2021-05,26.0,Perfect
ALTO PARNAIBA,2021-06,25.0,Perfect
ALTO PARNAIBA,2021-07,25.0,Perfect
ALTO PARNAIBA,2021-08,26.0,Perfect
ALTO PARNAIBA,2021-09,26.0,Perfect
ALTO PARNAIBA,2021-10,26.0,Perfect
ALTO PARNAIBA,2021-11,26.0,Perfect
ALTO PARNAIBA,2021-12,26.0,Perfect
ALTO PARNAIBA,2022-01,29.0,Perfect
ALTO PARNAIBA,2022-02,29.0,Perfect
ALTO PARNAIBA,2022-03,29.0,Perfect
ALTO PARNAIBA,2022-04,29.0,Perfect
ALTO PARNAIBA,2022-05,29.0,Perfect
ALTO PARNAIBA,2022-06,29.0,Perfect
ALTO PARNAIBA,2022-07,29.0,Perfect
ALTO PARNAIBA,2022-08,26.0,Perfect
ALTO PARNAIBA,2022-09,28.0,Perfect
ALTO PARNAIBA,2022-10,30.0,Perfect
ALTO PARNAIBA,2022-11,30.0,Perfect
ALTO PARNAIBA,2022-12,30.0,Perfect
ALTO PARNAIBA,2023-01,31.0,Perfect
ALTO PARNAIBA,2023-02,30.0,Perfect
ALTO PARNAIBA,2023-03,26.0,Perfect
ALTO PARNAIBA,2023-04,26.0,Perfect
ALTO PARNAIBA,2023-05,26.0,Perfect
