City,Period,Temperature,Status
CRUZEIRO DO SUL,2019-01,25.0,Perfect
CRUZEIRO DO SUL,2019-02,25.0,Perfect
CRUZEIRO DO SUL,2019-03,26.0,Perfect
CRUZEIRO DO SUL,2019-04,26.0,Perfect
CRUZEIRO DO SUL,2019-05,26.0,Perfect
CRUZEIRO DO SUL,2019-06,27.0,Perfect
CRUZEIRO DO SUL,2019-07,25.0,Perfect
CRUZEIRO DO SUL,2019-08,25.0,Perfect
CRUZEIRO DO SUL,2019-09,26.0,Perfect
CRUZEIRO DO SUL,2019-10,25.0,Perfect
CRUZEIRO DO SUL,2019-11,26.0,Perfect
CRUZEIRO DO SUL,2019-12,25.0,Perfect
CRUZEIRO DO SUL,2020-01,26.0,Perfect
CRUZEIRO DO SUL,2020-02,26.0,Perfect
CRUZEIRO DO SUL,2020-03,26.0,Perfect
CRUZEIRO DO SUL,2020-04,26.0,Perfect
CRUZEIRO DO SUL,2020-05,28.0,Perfect
CRUZEIRO DO SUL,2020-06,30.0,Perfect
CRUZEIRO DO SUL,2020-07,31.0,danger
CRUZEIRO DO SUL,2020-08,31.0,danger
CRUZEIRO DO SUL,2020-09,31.0,danger
CRUZEIRO DO SUL,2020-10,28.0,Perfect
CRUZEIRO DO SUL,2020-11,28.0,Perfect
CRUZEIRO DO SUL,2020-12,28.0,Perfect
EPITACIOLANDIA,2019-01,25.0,Perfect
EPITACIOLANDIA,2019-02,25.0,Perfect
EPITACIOLANDIA,2019-03,25.0,Perfect
EPITACIOLANDIA,2019-04,25.0,Perfect
EPITACIOLANDIA,2019-05,24.0,Perfect
EPITACIOLANDIA,2019-06,24.0,Perfect
EPITACIOLANDIA,2019-07,23.0,Regular
EPITACIOLANDIA,2019-08,24.0,Perfect
EPITACIOLANDIA,2019-09,26.0,Perfect
EPITACIOLANDIA,2019-10,25.0,Perfect
EPITACIOLANDIA,2019-11,25.0,Perfect
EPITACIOLANDIA,2019-12,25.0,Perfect
EPITACIOLANDIA,2020-01,26.0,Perfect
EPITACIOLANDIA,2020-02,25.0,Perfect
EPITACIOLANDIA,2020-03,26.0,Perfect
EPITACIOLANDIA,2020-04,24.0,Perfect
EPITACIOLANDIA,2020-05,25.0,Perfect
EPITACIOLANDIA,2020-06,25.0,Perfect
EPITACIOLANDIA,2020-07,25.0,Perfect
EPITACIOLANDIA,2020-08,25.0,Perfect
EPITACIOLANDIA,2020-09,25.0,Perfect
EPITACIOLANDIA,2020-10,25.0,Perfect
EPITACIOLANDIA,2020-11,25.0,Perfect
EPITACIOLANDIA,2020-12,25.0,Perfect
FEIJO,2019-01,25.0,Perfect
FEIJO,2019-02,26.0,Perfect
FEIJO,2019-03,26.0,Perfect
FEIJO,2019-04,26.0,Perfect
FEIJO,2019-05,25.0,Perfect
FEIJO,2019-06,25.0,Perfect
FEIJO,2019-07,24.0,Perfect
FEIJO,2019-08,24.0,Perfect
FEIJO,2019-09,26.0,Perfect
FEIJO,2019-10,25.0,Perfect
