City,Period,Temperature,Status
APUI,2019-01,25.0,Perfect
APUI,2019-02,25.0,Perfect
APUI,2019-03,25.0,Perfect
APUI,2019-04,25.0,Perfect
APUI,2019-05,25.0,Perfect
APUI,2019-06,25.0,Perfect
APUI,2019-07,25.0,Perfect
APUI,2019-08,25.0,Perfect
APUI,2019-09,25.0,Perfect
APUI,2019-10,25.0,Perfect
APUI,2019-11,25.0,Perfect
APUI,2019-12,25.0,Perfect
APUI,2020-01,27.0,Perfect
APUI,2020-02,28.0,Perfect
APUI,2020-03,29.0,Perfect
APUI,2020-04,27.0,Perfect
APUI,2020-05,26.0,Perfect
APUI,2020-06,27.0,Perfect
APUI,2020-07,29.0,Perfect
APUI,2020-08,28.0,Perfect
APUI,2020-09,29.0,Perfect
APUI,2020-10,28.0,Perfect
APUI,2020-11,28.0,Perfect
APUI,2020-12,28.0,Perfect
APUI,2022-01,25.0,Perfect
APUI,2022-02,25.0,Perfect
APUI,2022-03,25.0,Perfect
APUI,2022-04,25.0,Perfect
APUI,2022-05,25.0,Perfect
APUI,2022-06,25.0,Perfect
APUI,2022-07,26.0,Perfect
APUI,2022-08,25.0,Perfect
APUI,2022-09,26.0,Perfect
APUI,2022-10,25.0,Perfect
APUI,2022-11,25.0,Perfect
APUI,2022-12,24.0,Perfect
APUI,2023-01,24.0,Perfect
APUI,2023-02,24.0,Perfect
APUI,2023-03,25.0,Perfect
APUI,2023-04,25.0,Perfect
APUI,2023-05,25.0,Perfect
APUI,2023-06,25.0,Perfect
APUI,2023-07,25.0,Perfect
APUI,2023-08,25.0,Perfect
APUI,2023-09,26.0,Perfect
APUI,2023-10,26.0,Perfect
APUI,2023-11,25.0,Perfect
APUI,2023-12,25.0,Perfect
AUTAZES,2019-01,26.0,Perfect
AUTAZES,2019-02,26.0,Perfect
AUTAZES,2019-03,27.0,Perfect
AUTAZES,2019-04,27.0,Perfect
AUTAZES,2019-05,27.0,Perfect
AUTAZES,2019-06,27.0,Perfect
AUTAZES,2019-07,27.0,Perfect
AUTAZES,2019-08,28.0,Perfect
AUTAZES,2019-09,29.0,Perfect
AUTAZES,2019-10,27.0,Perfect
AUTAZES,2019-11,27.0,Perfect
AUTAZES,2019-12,26.0,Perfect
AUTAZES,2020-01,27.0,Perfect
AUTAZES,2020-02,27.0,Perfect
AUTAZES,2020-03,27.0,Perfect
AUTAZES,2020-04,27.0,Perfect
AUTAZES,2020-05,27.0,Perfect
AUTAZES,2020-06,27.0,Perfect
AUTAZES,2020-07,27.0,Perfect
AUTAZES,2020-08,28.0,Perfect
AUTAZES,2020-09,28.0,Perfect
AUTAZES,2020-10,28.0,Perfect
AUTAZES,2020-11,27.0,Perfect
AUTAZES,2020-12,26.0,Perfect
