City,Period,Temperature,Status
ARIQUEMES,2019-01,26.0,Perfect
ARIQUEMES,2019-02,26.0,Perfect
ARIQUEMES,2019-03,26.0,Perfect
ARIQUEMES,2019-04,26.0,Perfect
ARIQUEMES,2019-05,26.0,Perfect
ARIQUEMES,2019-06,26.0,Perfect
ARIQUEMES,2019-07,26.0,Perfect
ARIQUEMES,2019-08,26.0,Perfect
ARIQUEMES,2019-09,28.0,Perfect
ARIQUEMES,2019-10,26.0,Perfect
ARIQUEMES,2019-11,26.0,Perfect
ARIQUEMES,2019-12,26.0,Perfect
ARIQUEMES,2020-01,26.0,Perfect
ARIQUEMES,2020-02,26.0,Perfect
ARIQUEMES,2020-03,26.0,Perfect
ARIQUEMES,2020-04,26.0,Perfect
ARIQUEMES,2020-05,26.0,Perfect
ARIQUEMES,2020-06,28.0,Perfect
ARIQUEMES,2020-07,29.0,Perfect
ARIQUEMES,2020-08,31.0,Perfect
ARIQUEMES,2020-09,27.0,Perfect
ARIQUEMES,2020-10,27.0,Perfect
ARIQUEMES,2020-11,27.0,Perfect
ARIQUEMES,2020-12,27.0,Perfect
ARIQUEMES,2023-01,27.0,Perfect
ARIQUEMES,2023-02,27.0,Perfect
ARIQUEMES,2023-03,27.0,Perfect
ARIQUEMES,2023-04,27.0,Perfect
ARIQUEMES,2023-05,27.0,Perfect
ARIQUEMES,2023-06,25.0,Perfect
ARIQUEMES,2023-07,26.0,Perfect
ARIQUEMES,2023-08,27.0,Perfect
ARIQUEMES,2023-09,28.0,Perfect
ARIQUEMES,2023-10,28.0,Perfect
ARIQUEMES,2023-11,28.0,Perfect
ARIQUEMES,2023-12,27.0,Perfect
CACOAL,2019-01,26.0,Perfect
CACOAL,2019-02,26.0,Perfect
CACOAL,2019-03,26.0,Perfect
CACOAL,2019-04,26.0,Perfect
CACOAL,2019-05,26.0,Perfect
CACOAL,2019-06,26.0,Perfect
CACOAL,2019-07,26.0,Perfect
CACOAL,2019-08,27.0,Perfect
CACOAL,2019-09,29.0,Perfect
CACOAL,2019-10,27.0,Perfect
CACOAL,2019-11,26.0,Perfect
CACOAL,2019-12,27.0,Perfect
CACOAL,2020-01,27.0,Perfect
CACOAL,2020-02,26.0,Perfect
CACOAL,2020-03,26.0,Perfect
CACOAL,2020-04,27.0,Perfect
CACOAL,2020-05,25.0,Perfect
CACOAL,2020-06,26.0,Perfect
CACOAL,2020-07,26.0,Perfect
CACOAL,2020-08,27.0,Perfect
CACOAL,2020-09,29.0,Perfect
CACOAL,2020-10,28.0,Perfect
CACOAL,2020-11,28.0,Perfect
CACOAL,2020-12,26.0,Perfect
CACOAL,2021-01,26.0,Perfect
CACOAL,2021-02,26.0,Perfect
CACOAL,2021-03,26.0,Perfect
CACOAL,2021-04,26.0,Perfect
CACOAL,2021-05,29.0,Perfect
CACOAL,2021-06,29.0,Perfect
CACOAL,2021-07,28.0,Perfect
CACOAL,2021-08,27.0,Perfect
CACOAL,2021-09,27.0,Perfect
CACOAL,2021-10,27.0,Perfect
CACOAL,2021-11,27.0,Perfect
CACOAL,2021-12,27.0,Perfect
CACOAL,2023-01,28.0,Perfect
CACOAL,2023-02,28.0,Perfect
CACOAL,2023-03,28.0,Perfect
CACOAL,2023-04,28.0,Perfect
CACOAL,2023-05,28.0,Perfect
CACOAL,2023-06,25.0,Perfect
CACOAL,2023-07,27.0,Perfect
CACOAL,2023-08,28.0,Perfect
CACOAL,2023-09,29.0,Perfect
CACOAL,2023-10,29.0,Perfect
CACOAL,2023-11,29.0,Perfect
CACOAL,2023-12,28.0,Perfect
PORTO VELHO,2019-01,26.0,Perfect
PORTO VELHO,2019-02,26.0,Perfect
PORTO VELHO,2019-03,27.0,Perfect
PORTO VELHO,2019-04,26.0,Perfect
PORTO VELHO,2019-05,26.0,Perfect
PORTO VELHO,2019-06,26.0,Perfect
PORTO VELHO,2019-07,26.0,Perfect
PORTO VELHO,2019-08,27.0,Perfect
PORTO VELHO,2019-09,28.0,Perfect
PORTO VELHO,2019-10,26.0,Perfect
PORTO VELHO,2019-11,26.0,Perfect
PORTO VELHO,2019-12,26.0,Perfect
PORTO VELHO,2022-01,26.0,Perfect
PORTO VELHO,2022-02,26.0,Perfect
PORTO VELHO,2022-03,26.0,Perfect
PORTO VELHO,2022-04,26.0,Perfect
PORTO VELHO,2022-05,26.0,Perfect
PORTO VELHO,2022-06,26.0,Perfect
PORTO VELHO,2022-07,27.0,Perfect
PORTO VELHO,2022-08,27.0,Perfect
PORTO VELHO,2022-09,28.0,Perfect
PORTO VELHO,2022-10,27.0,Perfect
PORTO VELHO,2022-11,26.0,Perfect
PORTO VELHO,2022-12,26.0,Perfect
PORTO VELHO,2023-01,26.0,Perfect
PORTO VELHO,2023-02,26.0,Perfect
PORTO VELHO,2023-03,26.0,Perfect
PORTO VELHO,2023-04,26.0,Perfect
PORTO VELHO,2023-05,27.0,Perfect
PORTO VELHO,2023-06,25.0,Perfect
