City,Period,Temperature,Status
AFONSO CLAUDIO,2019/01/01,24.0,Regular
AFONSO CLAUDIO,2019/01/02,25.0,Perfect
AFONSO CLAUDIO,2019/01/03,26.0,Perfect
AFONSO CLAUDIO,2019/01/04,26.0,Perfect
AFONSO CLAUDIO,2019/01/05,26.0,Perfect
AFONSO CLAUDIO,2019/01/06,25.0,Perfect
AFONSO CLAUDIO,2019/01/07,25.0,Perfect
AFONSO CLAUDIO,2019/01/08,25.0,Perfect
AFONSO CLAUDIO,2019/01/09,24.0,Regular
AFONSO CLAUDIO,2019/01/10,24.0,Regular
AFONSO CLAUDIO,2019/01/11,25.0,Perfect
AFONSO CLAUDIO,2019/01/12,24.0,Regular
AFONSO CLAUDIO,2019/01/13,24.0,Regular
AFONSO CLAUDIO,2019/01/14,25.0,Perfect
AFONSO CLAUDIO,2019/01/15,26.0,Perfect
AFONSO CLAUDIO,2019/01/16,27.0,Perfect
AFONSO CLAUDIO,2019/01/17,25.0,Perfect
AFONSO CLAUDIO,2019/01/18,25.0,Perfect
AFONSO CLAUDIO,2019/01/19,26.0,Perfect
AFONSO CLAUDIO,2019/01/20,26.0,Perfect
AFONSO CLAUDIO,2019/01/21,26.0,Perfect
AFONSO CLAUDIO,2019/01/22,25.0,Perfect
AFONSO CLAUDIO,2019/01/23,25.0,Perfect
AFONSO CLAUDIO,2019/01/24,25.0,Perfect
AFONSO CLAUDIO,2019/01/25,25.0,Perfect
AFONSO CLAUDIO,2019/01/26,26.0,Perfect
AFONSO CLAUDIO,2019/01/27,25.0,Perfect
AFONSO CLAUDIO,2019/01/28,26.0,Perfect
AFONSO CLAUDIO,2019/01/29,26.0,Perfect
AFONSO CLAUDIO,2019/01/30,26.0,Perfect
AFONSO CLAUDIO,2019/01/31,26.0,Perfect
AFONSO CLAUDIO,2019/02/01,26.0,Perfect
AFONSO CLAUDIO,2019/02/02,26.0,Perfect
AFONSO CLAUDIO,2019/02/03,27.0,Perfect
AFONSO CLAUDIO,2019/02/04,27.0,Perfect
AFONSO CLAUDIO,2019/02/05,23.0,Regular
AFONSO CLAUDIO,2019/02/06,23.0,Regular
AFONSO CLAUDIO,2019/02/07,22.0,Regular
AFONSO CLAUDIO,2019/02/08,23.0,Regular
AFONSO CLAUDIO,2019/02/09,23.0,Regular
AFONSO CLAUDIO,2019/02/10,24.0,Regular
AFONSO CLAUDIO,2019/02/11,26.0,Perfect
AFONSO CLAUDIO,2019/02/12,25.0,Perfect
AFONSO CLAUDIO,2019/02/13,24.0,Regular
AFONSO CLAUDIO,2019/02/14,22.0,Regular
AFONSO CLAUDIO,2019/02/15,23.0,Regular
AFONSO CLAUDIO,2019/02/16,25.0,Perfect
AFONSO CLAUDIO,2019/02/17,25.0,Perfect
AFONSO CLAUDIO,2019/02/18,26.0,Perfect
AFONSO CLAUDIO,2019/02/19,25.0,Perfect
AFONSO CLAUDIO,2019/02/20,25.0,Perfect
AFONSO CLAUDIO,2019/02/21,25.0,Perfect
AFONSO CLAUDIO,2019/02/22,26.0,Perfect
AFONSO CLAUDIO,2019/02/23,27.0,Perfect
AFONSO CLAUDIO,2019/02/24,26.0,Perfect
AFONSO CLAUDIO,2019/02/25,27.0,Perfect
AFONSO CLAUDIO,2019/02/26,27.0,Perfect
AFONSO CLAUDIO,2019/02/27,26.0,Perfect
AFONSO CLAUDIO,2019/02/28,26.0,Perfect
AFONSO CLAUDIO,2019/03/01,25.0,Perfect
AFONSO CLAUDIO,2019/03/02,25.0,Perfect
AFONSO CLAUDIO,2019/03/03,25.0,Perfect
AFONSO CLAUDIO,2019/03/04,25.0,Perfect
