City,Period,Temperature,Status
AFONSO CLAUDIO,2019-01,25.0,Perfect
AFONSO CLAUDIO,2019-02,25.0,Perfect
AFONSO CLAUDIO,2019-03,24.0,Perfect
AFONSO CLAUDIO,2019-04,24.0,Perfect
AFONSO CLAUDIO,2019-05,22.0,Regular
AFONSO CLAUDIO,2019-06,20.0,Regular
AFONSO CLAUDIO,2019-07,19.0,Regular
AFONSO CLAUDIO,2019-08,20.0,Regular
AFONSO CLAUDIO,2019-09,22.0,Regular
AFONSO CLAUDIO,2019-10,23.0,Regular
AFONSO CLAUDIO,2019-11,23.0,Regular
AFONSO CLAUDIO,2019-12,24.0,Perfect
AFONSO CLAUDIO,2020-01,24.0,Perfect
AFONSO CLAUDIO,2020-02,24.0,Perfect
AFONSO CLAUDIO,2020-03,23.0,Regular
AFONSO CLAUDIO,2020-04,21.0,Regular
AFONSO CLAUDIO,2020-05,20.0,Regular
AFONSO CLAUDIO,2020-06,18.0,Regular
AFONSO CLAUDIO,2020-07,22.0,Regular
AFONSO CLAUDIO,2020-08,22.0,Regular
AFONSO CLAUDIO,2020-09,22.0,Regular
AFONSO CLAUDIO,2020-10,22.0,Regular
AFONSO CLAUDIO,2020-11,22.0,Regular
AFONSO CLAUDIO,2020-12,22.0,Regular
AFONSO CLAUDIO,2021-01,22.0,Regular
AFONSO CLAUDIO,2021-02,23.0,Regular
AFONSO CLAUDIO,2021-03,24.0,Perfect
AFONSO CLAUDIO,2021-04,22.0,Regular
AFONSO CLAUDIO,2021-05,21.0,Regular
AFONSO CLAUDIO,2021-06,19.0,Regular
AFONSO CLAUDIO,2021-07,18.0,Regular
AFONSO CLAUDIO,2021-08,20.0,Regular
AFONSO CLAUDIO,2021-09,22.0,Regular
AFONSO CLAUDIO,2021-10,22.0,Regular
AFONSO CLAUDIO,2021-11,22.0,Regular
AFONSO CLAUDIO,2021-12,21.0,Regular
AFONSO CLAUDIO,2022-01,24.0,Perfect
AFONSO CLAUDIO,2022-02,25.0,Perfect
AFONSO CLAUDIO,2022-03,28.0,Perfect
AFONSO CLAUDIO,2022-04,24.0,Perfect
AFONSO CLAUDIO,2022-05,20.0,Regular
AFONSO CLAUDIO,2022-06,19.0,Regular
AFONSO CLAUDIO,2022-07,19.0,Regular
AFONSO CLAUDIO,2022-08,19.0,Regular
AFONSO CLAUDIO,2022-09,20.0,Regular
AFONSO CLAUDIO,2022-10,23.0,Regular
AFONSO CLAUDIO,2022-11,22.0,Regular
AFONSO CLAUDIO,2022-12,22.0,Regular
AFONSO CLAUDIO,2023-01,23.0,Regular
AFONSO CLAUDIO,2023-02,25.0,Perfect
AFONSO CLAUDIO,2023-03,24.0,Perfect
AFONSO CLAUDIO,2023-04,23.0,Regular
AFONSO CLAUDIO,2023-05,20.0,Regular
AFONSO CLAUDIO,2023-06,19.0,Regular
AFONSO CLAUDIO,2023-07,19.0,Regular
AFONSO CLAUDIO,2023-08,21.0,Regular
AFONSO CLAUDIO,2023-09,22.0,Regular
AFONSO CLAUDIO,2023-10,24.0,Perfect
AFONSO CLAUDIO,2023-11,24.0,Perfect
AFONSO CLAUDIO,2023-12,22.0,Regular
ALEGRE,2019-01,28.0,Perfect
ALEGRE,2019-02,27.0,Perfect
ALEGRE,2019-03,26.0,Perfect
ALEGRE,2019-04,25.0,Perfect
ALEGRE,2019-05,24.0,Perfect
ALEGRE,2019-06,22.0,Regular
ALEGRE,2019-07,20.0,Regular
ALEGRE,2019-08,21.0,Regular
ALEGRE,2019-09,24.0,Perfect
ALEGRE,2019-10,25.0,Perfect
ALEGRE,2019-11,25.0,Perfect
ALEGRE,2019-12,26.0,Perfect
ALEGRE,2020-01,26.0,Perfect
ALEGRE,2020-02,27.0,Perfect
ALEGRE,2020-03,28.0,Perfect
