City,Period,Temperature,Status
ANGRA DOS REIS,2019-01,29.0,Perfect
ANGRA DOS REIS,2019-02,26.0,Perfect
ANGRA DOS REIS,2019-03,26.0,Perfect
ANGRA DOS REIS,2019-04,25.0,Perfect
ANGRA DOS REIS,2019-05,23.0,Regular
ANGRA DOS REIS,2019-06,22.0,Regular
ANGRA DOS REIS,2019-07,20.0,Regular
ANGRA DOS REIS,2019-08,20.0,Regular
ANGRA DOS REIS,2019-09,22.0,Regular
ANGRA DOS REIS,2019-10,24.0,Regular
ANGRA DOS REIS,2019-11,23.0,Regular
ANGRA DOS REIS,2019-12,25.0,Perfect
ANGRA DOS REIS,2020-01,26.0,Perfect
ANGRA DOS REIS,2020-02,25.0,Perfect
ANGRA DOS REIS,2020-03,24.0,Regular
ANGRA DOS REIS,2020-04,23.0,Regular
ANGRA DOS REIS,2020-05,24.0,Regular
ANGRA DOS REIS,2020-06,24.0,Regular
ANGRA DOS REIS,2020-07,24.0,Regular
ANGRA DOS REIS,2020-08,24.0,Regular
ANGRA DOS REIS,2020-09,24.0,Regular
ANGRA DOS REIS,2020-10,24.0,Regular
ANGRA DOS REIS,2020-11,24.0,Regular
ANGRA DOS REIS,2020-12,24.0,Regular
ANGRA DOS REIS,2021-01,28.0,Perfect
ANGRA DOS REIS,2021-02,27.0,Perfect
ANGRA DOS REIS,2021-03,27.0,Perfect
ANGRA DOS REIS,2021-04,24.0,Regular
ANGRA DOS REIS,2021-05,23.0,Regular
ANGRA DOS REIS,2021-06,22.0,Regular
ANGRA DOS REIS,2021-07,20.0,Regular
ANGRA DOS REIS,2021-08,20.0,Regular
ANGRA DOS REIS,2021-09,22.0,Regular
ANGRA DOS REIS,2021-10,22.0,Regular
ANGRA DOS REIS,2021-11,22.0,Regular
ANGRA DOS REIS,2021-12,24.0,Regular
ANGRA DOS REIS,2022-01,26.0,Perfect
ANGRA DOS REIS,2022-02,25.0,Perfect
ANGRA DOS REIS,2022-03,26.0,Perfect
ANGRA DOS REIS,2022-04,24.0,Regular
ANGRA DOS REIS,2022-05,22.0,Regular
ANGRA DOS REIS,2022-06,19.0,Regular
ANGRA DOS REIS,2022-07,21.0,Regular
ANGRA DOS REIS,2022-08,20.0,Regular
ANGRA DOS REIS,2022-09,20.0,Regular
ANGRA DOS REIS,2022-10,23.0,Regular
ANGRA DOS REIS,2022-11,22.0,Regular
ANGRA DOS REIS,2022-12,24.0,Regular
ANGRA DOS REIS,2023-01,25.0,Perfect
ANGRA DOS REIS,2023-02,26.0,Perfect
ANGRA DOS REIS,2023-03,26.0,Perfect
ANGRA DOS REIS,2023-04,23.0,Regular
ANGRA DOS REIS,2023-05,22.0,Regular
ANGRA DOS REIS,2023-06,21.0,Regular
ANGRA DOS REIS,2023-07,20.0,Regular
ANGRA DOS REIS,2023-08,21.0,Regular
ANGRA DOS REIS,2023-09,24.0,Regular
ANGRA DOS REIS,2023-10,23.0,Regular
ANGRA DOS REIS,2023-11,25.0,Perfect
ANGRA DOS REIS,2023-12,26.0,Perfect
ARRAIAL DO CABO,2019-01,26.0,Perfect
ARRAIAL DO CABO,2019-02,26.0,Perfect
ARRAIAL DO CABO,2019-03,27.0,Perfect
ARRAIAL DO CABO,2019-04,26.0,Perfect
ARRAIAL DO CABO,2019-05,25.0,Perfect
ARRAIAL DO CABO,2019-06,24.0,Regular
ARRAIAL DO CABO,2019-07,22.0,Regular
ARRAIAL DO CABO,2019-08,21.0,Regular
ARRAIAL DO CABO,2019-09,22.0,Regular
ARRAIAL DO CABO,2019-10,23.0,Regular
ARRAIAL DO CABO,2019-11,24.0,Regular
ARRAIAL DO CABO,2019-12,24.0,Regular
