City,Period,Temperature,Status
ARIRANHA,2019/01/01,25.0,Perfect
ARIRANHA,2019/01/02,26.0,Perfect
ARIRANHA,2019/01/03,25.0,Perfect
ARIRANHA,2019/01/04,24.0,Regular
ARIRANHA,2019/01/05,23.0,Regular
ARIRANHA,2019/01/06,24.0,Regular
ARIRANHA,2019/01/07,25.0,Perfect
ARIRANHA,2019/01/08,27.0,Perfect
ARIRANHA,2019/01/09,27.0,Perfect
ARIRANHA,2019/01/10,27.0,Perfect
ARIRANHA,2019/01/11,26.0,Perfect
ARIRANHA,2019/01/12,25.0,Perfect
ARIRANHA,2019/01/13,25.0,Perfect
ARIRANHA,2019/01/14,27.0,Perfect
ARIRANHA,2019/01/15,27.0,Perfect
ARIRANHA,2019/01/16,27.0,Perfect
ARIRANHA,2019/01/17,27.0,Perfect
ARIRANHA,2019/01/18,26.0,Perfect
ARIRANHA,2019/01/19,26.0,Perfect
ARIRANHA,2019/01/20,26.0,Perfect
ARIRANHA,2019/01/21,27.0,Perfect
ARIRANHA,2019/01/22,28.0,Perfect
ARIRANHA,2019/01/23,28.0,Perfect
ARIRANHA,2019/01/24,27.0,Perfect
ARIRANHA,2019/01/25,26.0,Perfect
ARIRANHA,2019/01/26,23.0,Regular
ARIRANHA,2019/01/27,23.0,Regular
ARIRANHA,2019/01/28,26.0,Perfect
ARIRANHA,2019/01/29,27.0,Perfect
ARIRANHA,2019/01/30,28.0,Perfect
ARIRANHA,2019/01/31,28.0,Perfect
ARIRANHA,2019/02/01,28.0,Perfect
ARIRANHA,2019/02/02,28.0,Perfect
ARIRANHA,2019/02/03,27.0,Perfect
ARIRANHA,2019/02/04,24.0,Regular
ARIRANHA,2019/02/05,24.0,Regular
ARIRANHA,2019/02/06,23.0,Regular
ARIRANHA,2019/02/07,24.0,Regular
ARIRANHA,2019/02/08,25.0,Perfect
ARIRANHA,2019/02/09,26.0,Perfect
ARIRANHA,2019/02/10,26.0,Perfect
ARIRANHA,2019/02/11,27.0,Perfect
ARIRANHA,2019/02/12,25.0,Perfect
ARIRANHA,2019/02/13,24.0,Regular
ARIRANHA,2019/02/14,24.0,Regular
ARIRANHA,2019/02/15,24.0,Regular
ARIRANHA,2019/02/16,22.0,Regular
ARIRANHA,2019/02/17,24.0,Regular
ARIRANHA,2019/02/18,23.0,Regular
ARIRANHA,2019/02/19,23.0,Regular
ARIRANHA,2019/02/20,23.0,Regular
ARIRANHA,2019/02/21,24.0,Regular
ARIRANHA,2019/02/22,25.0,Perfect
ARIRANHA,2019/02/23,25.0,Perfect
ARIRANHA,2019/02/24,26.0,Perfect
ARIRANHA,2019/02/25,26.0,Perfect
ARIRANHA,2019/02/26,24.0,Regular
ARIRANHA,2019/02/27,23.0,Regular
ARIRANHA,2019/02/28,23.0,Regular
ARIRANHA,2019/03/01,23.0,Regular
ARIRANHA,2019/03/02,22.0,Regular
