City,Period,Temperature,Status
ARIRANHA,2019-01,26.0,Perfect
ARIRANHA,2019-02,25.0,Perfect
ARIRANHA,2019-03,24.0,Regular
ARIRANHA,2019-04,23.0,Regular
ARIRANHA,2019-05,21.0,Regular
ARIRANHA,2019-06,19.0,Regular
ARIRANHA,2019-07,18.0,Regular
ARIRANHA,2019-08,21.0,Regular
ARIRANHA,2019-09,24.0,Regular
ARIRANHA,2019-10,26.0,Perfect
ARIRANHA,2019-11,24.0,Regular
ARIRANHA,2019-12,23.0,Regular
ARIRANHA,2020-01,26.0,Perfect
ARIRANHA,2020-02,26.0,Perfect
ARIRANHA,2020-03,25.0,Perfect
ARIRANHA,2020-04,23.0,Regular
ARIRANHA,2020-05,22.0,Regular
ARIRANHA,2020-06,24.0,Regular
ARIRANHA,2020-07,25.0,Perfect
ARIRANHA,2020-08,26.0,Perfect
ARIRANHA,2020-09,30.0,Perfect
ARIRANHA,2020-10,30.0,Perfect
ARIRANHA,2020-11,30.0,Perfect
ARIRANHA,2020-12,28.0,Perfect
ARIRANHA,2021-01,29.0,Perfect
ARIRANHA,2021-02,28.0,Perfect
ARIRANHA,2021-03,28.0,Perfect
ARIRANHA,2021-04,26.0,Perfect
ARIRANHA,2021-05,25.0,Perfect
ARIRANHA,2021-06,24.0,Regular
ARIRANHA,2021-07,23.0,Regular
ARIRANHA,2021-08,27.0,Perfect
ARIRANHA,2021-09,31.0,Perfect
ARIRANHA,2021-10,27.0,Perfect
ARIRANHA,2021-11,28.0,Perfect
ARIRANHA,2021-12,28.0,Perfect
ARIRANHA,2022-01,26.0,Perfect
ARIRANHA,2022-02,28.0,Perfect
ARIRANHA,2022-03,28.0,Perfect
ARIRANHA,2022-04,27.0,Perfect
ARIRANHA,2022-05,23.0,Regular
ARIRANHA,2022-06,23.0,Regular
ARIRANHA,2022-07,26.0,Perfect
ARIRANHA,2022-08,25.0,Perfect
ARIRANHA,2022-09,26.0,Perfect
ARIRANHA,2022-10,25.0,Perfect
ARIRANHA,2022-11,23.0,Regular
ARIRANHA,2022-12,24.0,Regular
ARIRANHA,2023-01,24.0,Regular
ARIRANHA,2023-02,24.0,Regular
ARIRANHA,2023-03,25.0,Perfect
ARIRANHA,2023-04,22.0,Regular
ARIRANHA,2023-05,19.0,Regular
ARIRANHA,2023-06,17.0,Regular
ARIRANHA,2023-07,19.0,Regular
ARIRANHA,2023-08,21.0,Regular
ARIRANHA,2023-09,25.0,Perfect
ARIRANHA,2023-10,26.0,Perfect
ARIRANHA,2023-11,26.0,Perfect
ARIRANHA,2023-12,27.0,Perfect
AVARE,2019-01,25.0,Perfect
AVARE,2019-02,23.0,Regular
AVARE,2019-03,23.0,Regular
AVARE,2019-04,22.0,Regular
AVARE,2019-05,20.0,Regular
AVARE,2019-06,19.0,Regular
AVARE,2019-07,17.0,Regular
AVARE,2019-08,18.0,Regular
AVARE,2019-09,21.0,Regular
AVARE,2019-10,23.0,Regular
AVARE,2019-11,22.0,Regular
AVARE,2019-12,23.0,Regular
AVARE,2020-01,24.0,Regular
AVARE,2020-02,23.0,Regular
AVARE,2020-03,24.0,Regular
AVARE,2020-04,23.0,Regular
AVARE,2020-05,20.0,Regular
AVARE,2020-06,21.0,Regular
AVARE,2020-07,21.0,Regular
AVARE,2020-08,20.0,Regular
AVARE,2020-09,26.0,Perfect
AVARE,2020-10,25.0,Perfect
AVARE,2020-11,25.0,Perfect
AVARE,2020-12,25.0,Perfect
AVARE,2022-01,26.0,Perfect
AVARE,2022-02,27.0,Perfect
AVARE,2022-03,27.0,Perfect
AVARE,2022-04,24.0,Regular
AVARE,2022-05,22.0,Regular
AVARE,2022-06,17.0,Regular
AVARE,2022-07,19.0,Regular
AVARE,2022-08,17.0,Regular
AVARE,2022-09,17.0,Regular
AVARE,2022-10,21.0,Regular
AVARE,2022-11,20.0,Regular
AVARE,2022-12,22.0,Regular
AVARE,2023-01,22.0,Regular
AVARE,2023-02,22.0,Regular
AVARE,2023-03,23.0,Regular
AVARE,2023-04,20.0,Regular
AVARE,2023-05,19.0,Regular
AVARE,2023-06,17.0,Regular
AVARE,2023-07,17.0,Regular
AVARE,2023-08,19.0,Regular
AVARE,2023-09,23.0,Regular
AVARE,2023-10,22.0,Regular
AVARE,2023-11,24.0,Regular
AVARE,2023-12,25.0,Perfect
BARRA BONITA,2019-01,27.0,Perfect
BARRA BONITA,2019-02,25.0,Perfect
BARRA BONITA,2019-03,24.0,Regular
BARRA BONITA,2019-04,24.0,Regular
BARRA BONITA,2019-05,21.0,Regular
BARRA BONITA,2019-06,20.0,Regular
BARRA BONITA,2019-07,18.0,Regular
BARRA BONITA,2019-08,20.0,Regular
BARRA BONITA,2019-09,23.0,Regular
BARRA BONITA,2019-10,25.0,Perfect
BARRA BONITA,2019-11,24.0,Regular
BARRA BONITA,2019-12,25.0,Perfect
BARRA BONITA,2020-01,25.0,Perfect
BARRA BONITA,2020-02,24.0,Regular
BARRA BONITA,2020-03,24.0,Regular
BARRA BONITA,2020-04,22.0,Regular
BARRA BONITA,2020-05,20.0,Regular
BARRA BONITA,2020-06,25.0,Perfect
BARRA BONITA,2020-07,24.0,Regular
BARRA BONITA,2020-08,25.0,Perfect
BARRA BONITA,2020-09,29.0,Perfect
BARRA BONITA,2020-10,28.0,Perfect
BARRA BONITA,2020-11,28.0,Perfect
BARRA BONITA,2020-12,28.0,Perfect
BARRA BONITA,2021-01,29.0,Perfect
BARRA BONITA,2021-02,28.0,Perfect
BARRA BONITA,2021-03,28.0,Perfect
BARRA BONITA,2021-04,25.0,Perfect
BARRA BONITA,2021-05,24.0,Regular
BARRA BONITA,2021-06,22.0,Regular
BARRA BONITA,2021-07,21.0,Regular
BARRA BONITA,2021-08,25.0,Perfect
BARRA BONITA,2021-09,28.0,Perfect
BARRA BONITA,2021-10,25.0,Perfect
BARRA BONITA,2021-11,27.0,Perfect
BARRA BONITA,2021-12,28.0,Perfect
BARRA BONITA,2022-01,28.0,Perfect
BARRA BONITA,2022-02,28.0,Perfect
BARRA BONITA,2022-03,28.0,Perfect
BARRA BONITA,2022-04,26.0,Perfect
BARRA BONITA,2022-05,19.0,Regular
BARRA BONITA,2022-06,18.0,Regular
BARRA BONITA,2022-07,20.0,Regular
BARRA BONITA,2022-08,19.0,Regular
BARRA BONITA,2022-09,19.0,Regular
BARRA BONITA,2022-10,23.0,Regular
BARRA BONITA,2022-11,22.0,Regular
BARRA BONITA,2022-12,24.0,Regular
BARRA BONITA,2023-01,24.0,Regular
BARRA BONITA,2023-02,24.0,Regular
BARRA BONITA,2023-03,25.0,Perfect
BARRA BONITA,2023-04,22.0,Regular
BARRA BONITA,2023-05,20.0,Regular
BARRA BONITA,2023-06,18.0,Regular
BARRA BONITA,2023-07,19.0,Regular
BARRA BONITA,2023-08,21.0,Regular
BARRA BONITA,2023-09,25.0,Perfect
BARRA BONITA,2023-10,24.0,Regular
BARRA BONITA,2023-11,26.0,Perfect
BARRA BONITA,2023-12,27.0,Perfect
BARRA DO TURVO,2019-01,23.0,Regular
BARRA DO TURVO,2019-02,21.0,Regular
BARRA DO TURVO,2019-03,21.0,Regular
BARRA DO TURVO,2019-04,20.0,Regular
BARRA DO TURVO,2019-05,18.0,Regular
BARRA DO TURVO,2019-06,16.0,Regular
BARRA DO TURVO,2019-07,13.0,Danger
BARRA DO TURVO,2019-08,14.0,Danger
BARRA DO TURVO,2019-09,16.0,Regular
BARRA DO TURVO,2019-10,19.0,Regular
BARRA DO TURVO,2019-11,19.0,Regular
BARRA DO TURVO,2019-12,18.0,Regular
BARRA DO TURVO,2022-01,16.0,Regular
BARRA DO TURVO,2022-02,16.0,Regular
BARRA DO TURVO,2022-03,16.0,Regular
BARRA DO TURVO,2022-04,18.0,Regular
BARRA DO TURVO,2022-05,15.0,Regular
BARRA DO TURVO,2022-06,14.0,Danger
BARRA DO TURVO,2022-07,15.0,Regular
BARRA DO TURVO,2022-08,14.0,Danger
BARRA DO TURVO,2022-09,14.0,Danger
BARRA DO TURVO,2022-10,18.0,Regular
BARRA DO TURVO,2022-11,17.0,Regular
BARRA DO TURVO,2022-12,20.0,Regular
BARRA DO TURVO,2023-01,21.0,Regular
BARRA DO TURVO,2023-02,22.0,Regular
BARRA DO TURVO,2023-03,21.0,Regular
BARRA DO TURVO,2023-04,18.0,Regular
BARRA DO TURVO,2023-05,17.0,Regular
BARRA DO TURVO,2023-06,15.0,Regular
BARRA DO TURVO,2023-07,14.0,Danger
BARRA DO TURVO,2023-08,15.0,Regular
BARRA DO TURVO,2023-09,19.0,Regular
BARRA DO TURVO,2023-10,18.0,Regular
BARRA DO TURVO,2023-11,20.0,Regular
BARRA DO TURVO,2023-12,22.0,Regular
BARRETOS,2019-01,26.0,Perfect
BARRETOS,2019-02,25.0,Perfect
BARRETOS,2019-03,24.0,Regular
BARRETOS,2019-04,23.0,Regular
BARRETOS,2019-05,21.0,Regular
BARRETOS,2019-06,19.0,Regular
BARRETOS,2019-07,19.0,Regular
BARRETOS,2019-08,21.0,Regular
BARRETOS,2019-09,25.0,Perfect
BARRETOS,2019-10,26.0,Perfect
BARRETOS,2019-11,25.0,Perfect
BARRETOS,2019-12,25.0,Perfect
BARRETOS,2020-01,25.0,Perfect
BARRETOS,2020-02,24.0,Regular
BARRETOS,2020-03,24.0,Regular
