City,Period,Temperature,Status
ALEGRETE,2019-01,25.0,Perfect
ALEGRETE,2019-02,24.0,Perfect
ALEGRETE,2019-03,22.0,Regular
ALEGRETE,2019-04,21.0,Regular
ALEGRETE,2019-05,18.0,Regular
ALEGRETE,2019-06,18.0,Regular
ALEGRETE,2019-07,13.0,Regular
ALEGRETE,2019-08,14.0,Regular
ALEGRETE,2019-09,17.0,Regular
ALEGRETE,2019-10,20.0,Regular
ALEGRETE,2019-11,23.0,Regular
ALEGRETE,2019-12,24.0,Perfect
ALEGRETE,2020-01,25.0,Perfect
ALEGRETE,2020-02,24.0,Perfect
ALEGRETE,2020-03,25.0,Perfect
ALEGRETE,2020-04,20.0,Regular
ALEGRETE,2020-05,16.0,Regular
ALEGRETE,2020-06,15.0,Regular
ALEGRETE,2020-07,13.0,Regular
ALEGRETE,2020-08,16.0,Regular
ALEGRETE,2020-09,17.0,Regular
ALEGRETE,2020-10,20.0,Regular
ALEGRETE,2020-11,23.0,Regular
ALEGRETE,2020-12,24.0,Perfect
ALEGRETE,2021-01,24.0,Perfect
ALEGRETE,2021-02,23.0,Regular
ALEGRETE,2021-03,23.0,Regular
ALEGRETE,2021-04,20.0,Regular
ALEGRETE,2021-05,14.0,Regular
ALEGRETE,2021-06,13.0,Regular
ALEGRETE,2021-07,13.0,Regular
ALEGRETE,2021-08,16.0,Regular
ALEGRETE,2021-09,17.0,Regular
ALEGRETE,2021-10,19.0,Regular
ALEGRETE,2021-11,23.0,Regular
ALEGRETE,2021-12,25.0,Perfect
ALEGRETE,2022-01,28.0,Perfect
ALEGRETE,2022-02,26.0,Perfect
ALEGRETE,2022-03,22.0,Regular
ALEGRETE,2022-04,19.0,Regular
ALEGRETE,2022-05,14.0,Regular
ALEGRETE,2022-06,18.0,Regular
ALEGRETE,2022-07,20.0,Regular
ALEGRETE,2022-08,17.0,Regular
ALEGRETE,2022-09,15.0,Regular
ALEGRETE,2022-10,18.0,Regular
ALEGRETE,2022-11,22.0,Regular
ALEGRETE,2022-12,26.0,Perfect
ALEGRETE,2023-01,27.0,Perfect
ALEGRETE,2023-02,26.0,Perfect
ALEGRETE,2023-03,25.0,Perfect
ALEGRETE,2023-04,20.0,Regular
ALEGRETE,2023-05,17.0,Regular
ALEGRETE,2023-06,16.0,Regular
ALEGRETE,2023-07,15.0,Regular
ALEGRETE,2023-08,17.0,Regular
ALEGRETE,2023-09,18.0,Regular
ALEGRETE,2023-10,19.0,Regular
ALEGRETE,2023-11,22.0,Regular
ALEGRETE,2023-12,24.0,Perfect
BAGE,2019-01,23.0,Regular
BAGE,2019-02,22.0,Regular
BAGE,2019-03,20.0,Regular
BAGE,2019-04,19.0,Regular
BAGE,2019-05,16.0,Regular
BAGE,2019-06,16.0,Regular
BAGE,2019-07,12.0,Regular
BAGE,2019-08,13.0,Regular
BAGE,2019-09,15.0,Regular
BAGE,2019-10,18.0,Regular
BAGE,2019-11,21.0,Regular
BAGE,2019-12,23.0,Regular
BAGE,2020-01,23.0,Regular
BAGE,2020-02,23.0,Regular
BAGE,2020-03,24.0,Perfect
BAGE,2020-04,18.0,Regular
BAGE,2020-05,15.0,Regular
BAGE,2020-06,14.0,Regular
BAGE,2020-07,12.0,Regular
BAGE,2020-08,15.0,Regular
BAGE,2020-09,14.0,Regular
BAGE,2020-10,17.0,Regular
BAGE,2020-11,20.0,Regular
BAGE,2020-12,22.0,Regular
BAGE,2021-01,23.0,Regular
BAGE,2021-02,22.0,Regular
BAGE,2021-03,21.0,Regular
BAGE,2021-04,19.0,Regular
BAGE,2021-05,13.0,Regular
BAGE,2021-06,12.0,Regular
BAGE,2021-07,12.0,Regular
BAGE,2021-08,14.0,Regular
BAGE,2021-09,16.0,Regular
BAGE,2021-10,18.0,Regular
BAGE,2021-11,20.0,Regular
BAGE,2021-12,22.0,Regular
BAGE,2022-01,25.0,Perfect
BAGE,2022-02,23.0,Regular
BAGE,2022-03,20.0,Regular
BAGE,2022-04,17.0,Regular
BAGE,2022-05,13.0,Regular
BAGE,2022-06,10.0,Regular
BAGE,2022-07,14.0,Regular
BAGE,2022-08,12.0,Regular
BAGE,2022-09,14.0,Regular
BAGE,2022-10,16.0,Regular
BAGE,2022-11,20.0,Regular
BAGE,2022-12,23.0,Regular
BAGE,2023-01,25.0,Perfect
BAGE,2023-02,24.0,Perfect
BAGE,2023-03,24.0,Perfect
BAGE,2023-04,18.0,Regular
BAGE,2023-05,16.0,Regular
BAGE,2023-06,14.0,Regular
BAGE,2023-07,13.0,Regular
BAGE,2023-08,14.0,Regular
BAGE,2023-09,15.0,Regular
BAGE,2023-10,17.0,Regular
BAGE,2023-11,20.0,Regular
BAGE,2023-12,22.0,Regular
BENTO GONCALVES,2019-01,23.0,Regular
BENTO GONCALVES,2019-02,21.0,Regular
BENTO GONCALVES,2019-03,20.0,Regular
BENTO GONCALVES,2019-04,19.0,Regular
BENTO GONCALVES,2019-05,17.0,Regular
BENTO GONCALVES,2019-06,16.0,Regular
BENTO GONCALVES,2019-07,12.0,Regular
BENTO GONCALVES,2019-08,13.0,Regular
BENTO GONCALVES,2019-09,15.0,Regular
BENTO GONCALVES,2019-10,18.0,Regular
BENTO GONCALVES,2019-11,20.0,Regular
BENTO GONCALVES,2019-12,22.0,Regular
BENTO GONCALVES,2020-01,22.0,Regular
BENTO GONCALVES,2020-02,22.0,Regular
BENTO GONCALVES,2020-03,22.0,Regular
BENTO GONCALVES,2020-04,18.0,Regular
BENTO GONCALVES,2020-05,15.0,Regular
BENTO GONCALVES,2020-06,15.0,Regular
BENTO GONCALVES,2020-07,12.0,Regular
BENTO GONCALVES,2020-08,15.0,Regular
BENTO GONCALVES,2020-09,16.0,Regular
BENTO GONCALVES,2020-10,18.0,Regular
BENTO GONCALVES,2020-11,18.0,Regular
BENTO GONCALVES,2020-12,17.0,Regular
BENTO GONCALVES,2021-01,22.0,Regular
BENTO GONCALVES,2021-02,21.0,Regular
BENTO GONCALVES,2021-03,21.0,Regular
BENTO GONCALVES,2021-04,18.0,Regular
BENTO GONCALVES,2021-05,13.0,Regular
BENTO GONCALVES,2021-06,12.0,Regular
BENTO GONCALVES,2021-07,12.0,Regular
BENTO GONCALVES,2021-08,15.0,Regular
BENTO GONCALVES,2021-09,16.0,Regular
BENTO GONCALVES,2021-10,17.0,Regular
BENTO GONCALVES,2021-11,20.0,Regular
BENTO GONCALVES,2021-12,22.0,Regular
BENTO GONCALVES,2022-01,24.0,Perfect
BENTO GONCALVES,2022-02,22.0,Regular
BENTO GONCALVES,2022-03,20.0,Regular
BENTO GONCALVES,2022-04,17.0,Regular
BENTO GONCALVES,2022-05,13.0,Regular
BENTO GONCALVES,2022-06,11.0,Regular
BENTO GONCALVES,2022-07,16.0,Regular
BENTO GONCALVES,2022-08,13.0,Regular
BENTO GONCALVES,2022-09,14.0,Regular
BENTO GONCALVES,2022-10,16.0,Regular
BENTO GONCALVES,2022-11,18.0,Regular
BENTO GONCALVES,2022-12,22.0,Regular
BENTO GONCALVES,2023-01,23.0,Regular
BENTO GONCALVES,2023-02,22.0,Regular
BENTO GONCALVES,2023-03,22.0,Regular
BENTO GONCALVES,2023-04,17.0,Regular
BENTO GONCALVES,2023-05,17.0,Regular
BENTO GONCALVES,2023-06,14.0,Regular
BENTO GONCALVES,2023-07,14.0,Regular
BENTO GONCALVES,2023-08,15.0,Regular
BENTO GONCALVES,2023-09,17.0,Regular
BENTO GONCALVES,2023-10,17.0,Regular
BENTO GONCALVES,2023-11,20.0,Regular
BENTO GONCALVES,2023-12,22.0,Regular
CACAPAVA DO SUL,2019-01,23.0,Regular
CACAPAVA DO SUL,2019-02,22.0,Regular
CACAPAVA DO SUL,2019-03,20.0,Regular
CACAPAVA DO SUL,2019-04,19.0,Regular
CACAPAVA DO SUL,2019-05,16.0,Regular
CACAPAVA DO SUL,2019-06,16.0,Regular
CACAPAVA DO SUL,2019-07,11.0,Regular
CACAPAVA DO SUL,2019-08,13.0,Regular
CACAPAVA DO SUL,2019-09,14.0,Regular
CACAPAVA DO SUL,2019-10,18.0,Regular
CACAPAVA DO SUL,2019-11,20.0,Regular
CACAPAVA DO SUL,2019-12,23.0,Regular
CACAPAVA DO SUL,2020-01,23.0,Regular
CACAPAVA DO SUL,2020-02,22.0,Regular
CACAPAVA DO SUL,2020-03,23.0,Regular
CACAPAVA DO SUL,2020-04,18.0,Regular
CACAPAVA DO SUL,2020-05,15.0,Regular
CACAPAVA DO SUL,2020-06,13.0,Regular
CACAPAVA DO SUL,2020-07,11.0,Regular
CACAPAVA DO SUL,2020-08,14.0,Regular
CACAPAVA DO SUL,2020-09,14.0,Regular
CACAPAVA DO SUL,2020-10,17.0,Regular
CACAPAVA DO SUL,2020-11,19.0,Regular
CACAPAVA DO SUL,2020-12,21.0,Regular
CACAPAVA DO SUL,2021-01,23.0,Regular
CACAPAVA DO SUL,2021-02,21.0,Regular
CACAPAVA DO SUL,2021-03,21.0,Regular
CACAPAVA DO SUL,2021-04,18.0,Regular
CACAPAVA DO SUL,2021-05,14.0,Regular
CACAPAVA DO SUL,2021-06,12.0,Regular
CACAPAVA DO SUL,2021-07,13.0,Regular
CACAPAVA DO SUL,2021-08,14.0,Regular
CACAPAVA DO SUL,2021-09,15.0,Regular
CACAPAVA DO SUL,2021-10,17.0,Regular
CACAPAVA DO SUL,2021-11,19.0,Regular
CACAPAVA DO SUL,2021-12,21.0,Regular
CACAPAVA DO SUL,2022-01,25.0,Perfect
CACAPAVA DO SUL,2022-02,23.0,Regular
CACAPAVA DO SUL,2022-03,20.0,Regular
CACAPAVA DO SUL,2022-04,17.0,Regular
CACAPAVA DO SUL,2022-05,13.0,Regular
CACAPAVA DO SUL,2022-06,11.0,Regular
CACAPAVA DO SUL,2022-07,14.0,Regular
CACAPAVA DO SUL,2022-08,12.0,Regular
CACAPAVA DO SUL,2022-09,14.0,Regular
CACAPAVA DO SUL,2022-10,16.0,Regular
CACAPAVA DO SUL,2022-11,19.0,Regular
CACAPAVA DO SUL,2022-12,22.0,Regular
CACAPAVA DO SUL,2023-01,24.0,Perfect
CACAPAVA DO SUL,2023-02,23.0,Regular
CACAPAVA DO SUL,2023-03,23.0,Regular
CACAPAVA DO SUL,2023-04,18.0,Regular
CACAPAVA DO SUL,2023-05,16.0,Regular
CACAPAVA DO SUL,2023-06,14.0,Regular
CACAPAVA DO SUL,2023-07,12.0,Regular
CACAPAVA DO SUL,2023-08,14.0,Regular
CACAPAVA DO SUL,2023-09,15.0,Regular
CACAPAVA DO SUL,2023-10,16.0,Regular
CACAPAVA DO SUL,2023-11,19.0,Regular
CACAPAVA DO SUL,2023-12,21.0,Regular
CAMAQUA,2019-01,25.0,Perfect
CAMAQUA,2019-02,23.0,Regular
CAMAQUA,2019-03,21.0,Regular
CAMAQUA,2019-04,20.0,Regular
CAMAQUA,2019-05,17.0,Regular
CAMAQUA,2019-06,17.0,Regular
CAMAQUA,2019-07,12.0,Regular
CAMAQUA,2019-08,14.0,Regular
CAMAQUA,2019-09,15.0,Regular
CAMAQUA,2019-10,19.0,Regular
CAMAQUA,2019-11,20.0,Regular
CAMAQUA,2019-12,23.0,Regular
CAMAQUA,2020-01,24.0,Perfect
CAMAQUA,2020-02,23.0,Regular
CAMAQUA,2020-03,23.0,Regular
CAMAQUA,2020-04,19.0,Regular
CAMAQUA,2020-05,16.0,Regular
CAMAQUA,2020-06,15.0,Regular
CAMAQUA,2020-07,13.0,Regular
CAMAQUA,2020-08,15.0,Regular
CAMAQUA,2020-09,15.0,Regular
CAMAQUA,2020-10,17.0,Regular
CAMAQUA,2020-11,20.0,Regular
CAMAQUA,2020-12,22.0,Regular
CAMAQUA,2021-01,24.0,Perfect
CAMAQUA,2021-02,23.0,Regular
CAMAQUA,2021-03,22.0,Regular
CAMAQUA,2021-04,20.0,Regular
CAMAQUA,2021-05,14.0,Regular
CAMAQUA,2021-06,13.0,Regular
CAMAQUA,2021-07,12.0,Regular
CAMAQUA,2021-08,15.0,Regular
CAMAQUA,2021-09,18.0,Regular
CAMAQUA,2021-10,20.0,Regular
CAMAQUA,2021-11,23.0,Regular
CAMAQUA,2021-12,22.0,Regular
CAMAQUA,2022-01,24.0,Perfect
CAMAQUA,2022-02,23.0,Regular
CAMAQUA,2022-03,21.0,Regular
CAMAQUA,2022-04,18.0,Regular
CAMAQUA,2022-05,14.0,Regular
CAMAQUA,2022-06,12.0,Regular
CAMAQUA,2022-07,15.0,Regular
CAMAQUA,2022-08,13.0,Regular
CAMAQUA,2022-09,15.0,Regular
CAMAQUA,2022-10,17.0,Regular
CAMAQUA,2022-11,20.0,Regular
CAMAQUA,2022-12,22.0,Regular
CAMAQUA,2023-01,25.0,Perfect
CAMAQUA,2023-02,25.0,Perfect
CAMAQUA,2023-03,24.0,Perfect
CAMAQUA,2023-04,19.0,Regular
CAMAQUA,2023-05,17.0,Regular
CAMAQUA,2023-06,14.0,Regular
CAMAQUA,2023-07,14.0,Regular
CAMAQUA,2023-08,14.0,Regular
CAMAQUA,2023-09,16.0,Regular
CAMAQUA,2023-10,17.0,Regular
CAMAQUA,2023-11,20.0,Regular
CAMAQUA,2023-12,22.0,Regular
CAMBARA DO SUL,2019-01,21.0,Regular
CAMBARA DO SUL,2019-02,18.0,Regular
CAMBARA DO SUL,2019-03,17.0,Regular
CAMBARA DO SUL,2019-04,17.0,Regular
CAMBARA DO SUL,2019-05,15.0,Regular
CAMBARA DO SUL,2019-06,14.0,Regular
CAMBARA DO SUL,2019-07,11.0,Regular
CAMBARA DO SUL,2019-08,12.0,Regular
CAMBARA DO SUL,2019-09,14.0,Regular
CAMBARA DO SUL,2019-10,16.0,Regular
CAMBARA DO SUL,2019-11,17.0,Regular
CAMBARA DO SUL,2019-12,19.0,Regular
CAMBARA DO SUL,2020-01,19.0,Regular
CAMBARA DO SUL,2020-02,18.0,Regular
CAMBARA DO SUL,2020-03,18.0,Regular
CAMBARA DO SUL,2020-04,14.0,Regular
CAMBARA DO SUL,2020-05,13.0,Regular
CAMBARA DO SUL,2020-06,13.0,Regular
CAMBARA DO SUL,2020-07,12.0,Regular
CAMBARA DO SUL,2020-08,13.0,Regular
CAMBARA DO SUL,2020-09,14.0,Regular
CAMBARA DO SUL,2020-10,16.0,Regular
CAMBARA DO SUL,2020-11,16.0,Regular
CAMBARA DO SUL,2020-12,18.0,Regular
CAMBARA DO SUL,2021-01,19.0,Regular
