City,Period,Temperature,Status
ARARANGUA,2019-01,26.0,Perfect
ARARANGUA,2019-02,24.0,Regular
ARARANGUA,2019-03,23.0,Regular
ARARANGUA,2019-04,22.0,Regular
ARARANGUA,2019-05,20.0,Regular
ARARANGUA,2019-06,18.0,Regular
ARARANGUA,2019-07,15.0,Regular
ARARANGUA,2019-08,16.0,Regular
ARARANGUA,2019-09,18.0,Regular
ARARANGUA,2019-10,21.0,Regular
ARARANGUA,2019-11,22.0,Regular
ARARANGUA,2019-12,23.0,Regular
ARARANGUA,2020-01,24.0,Regular
ARARANGUA,2020-02,23.0,Regular
ARARANGUA,2020-03,23.0,Regular
ARARANGUA,2020-04,20.0,Regular
ARARANGUA,2020-05,17.0,Regular
ARARANGUA,2020-06,17.0,Regular
ARARANGUA,2020-07,15.0,Regular
ARARANGUA,2020-08,16.0,Regular
ARARANGUA,2020-09,18.0,Regular
ARARANGUA,2020-10,20.0,Regular
ARARANGUA,2020-11,21.0,Regular
ARARANGUA,2020-12,23.0,Regular
ARARANGUA,2021-01,24.0,Regular
ARARANGUA,2021-02,24.0,Regular
ARARANGUA,2021-03,23.0,Regular
ARARANGUA,2021-04,21.0,Regular
ARARANGUA,2021-05,16.0,Regular
ARARANGUA,2021-06,15.0,Regular
ARARANGUA,2021-07,14.0,Danger
ARARANGUA,2021-08,17.0,Regular
ARARANGUA,2021-09,19.0,Regular
ARARANGUA,2021-10,19.0,Regular
ARARANGUA,2021-11,21.0,Regular
ARARANGUA,2021-12,23.0,Regular
ARARANGUA,2022-01,24.0,Regular
ARARANGUA,2022-02,24.0,Regular
ARARANGUA,2022-03,22.0,Regular
ARARANGUA,2022-04,20.0,Regular
ARARANGUA,2022-05,17.0,Regular
ARARANGUA,2022-06,14.0,Danger
ARARANGUA,2022-07,17.0,Regular
ARARANGUA,2022-08,16.0,Regular
ARARANGUA,2022-09,17.0,Regular
ARARANGUA,2022-10,19.0,Regular
ARARANGUA,2022-11,20.0,Regular
ARARANGUA,2022-12,23.0,Regular
ARARANGUA,2023-01,24.0,Regular
ARARANGUA,2023-02,24.0,Regular
ARARANGUA,2023-03,24.0,Regular
ARARANGUA,2023-04,20.0,Regular
ARARANGUA,2023-05,19.0,Regular
ARARANGUA,2023-06,17.0,Regular
ARARANGUA,2023-07,16.0,Regular
