City,Period,Temperature,Status,state
ALMAS,2019-01,25.0,Perfect,TO
ALMAS,2019-02,25.0,Perfect,TO
ALMAS,2019-03,25.0,Perfect,TO
ALMAS,2019-04,25.0,Perfect,TO
ALMAS,2019-05,25.0,Perfect,TO
ALMAS,2019-06,24.0,Regular,TO
ALMAS,2019-07,24.0,Regular,TO
ALMAS,2019-08,26.0,Perfect,TO
ALMAS,2019-09,29.0,Perfect,TO
ALMAS,2019-10,28.0,Perfect,TO
ALMAS,2019-11,26.0,Perfect,TO
ALMAS,2019-12,26.0,Perfect,TO
ALMAS,2020-01,25.0,Perfect,TO
ALMAS,2020-02,25.0,Perfect,TO
ALMAS,2020-03,25.0,Perfect,TO
ALMAS,2020-04,25.0,Perfect,TO
ALMAS,2020-05,25.0,Perfect,TO
ALMAS,2020-06,24.0,Regular,TO
ALMAS,2020-07,24.0,Regular,TO
ALMAS,2020-08,26.0,Perfect,TO
ALMAS,2020-09,27.0,Perfect,TO
ALMAS,2020-10,27.0,Perfect,TO
ALMAS,2020-11,25.0,Perfect,TO
ALMAS,2020-12,25.0,Perfect,TO
ALMAS,2021-01,28.0,Perfect,TO
ALMAS,2021-02,25.0,Perfect,TO
ALMAS,2021-03,27.0,Perfect,TO
ALMAS,2021-04,29.0,Perfect,TO
ALMAS,2021-05,30.0,Perfect,TO
ALMAS,2021-06,31.0,Perfect,TO
ALMAS,2021-07,32.0,Perfect,TO
ALMAS,2021-08,32.0,Perfect,TO
ALMAS,2021-09,30.0,Perfect,TO
ALMAS,2021-10,26.0,Perfect,TO
ALMAS,2021-11,24.0,Regular,TO
ALMAS,2021-12,24.0,Regular,TO
ALMAS,2022-01,24.0,Regular,TO
ALMAS,2022-02,25.0,Perfect,TO
ALMAS,2022-03,25.0,Perfect,TO
ALMAS,2022-04,26.0,Perfect,TO
ALMAS,2022-05,26.0,Perfect,TO
ALMAS,2022-06,27.0,Perfect,TO
ALMAS,2022-07,26.0,Perfect,TO
ALMAS,2022-08,27.0,Perfect,TO
ALMAS,2022-09,29.0,Perfect,TO
ALMAS,2022-10,31.0,Perfect,TO
ALMAS,2022-11,27.0,Perfect,TO
ALMAS,2022-12,27.0,Perfect,TO
ALMAS,2023-01,27.0,Perfect,TO
ALMAS,2023-02,28.0,Perfect,TO
ALMAS,2023-03,28.0,Perfect,TO
ALMAS,2023-04,29.0,Perfect,TO
ALMAS,2023-05,30.0,Perfect,TO
ALMAS,2023-06,30.0,Perfect,TO
ALMAS,2023-07,30.0,Perfect,TO
ALMAS,2023-08,32.0,Perfect,TO
ALMAS,2023-09,32.0,Perfect,TO
ALMAS,2023-10,29.0,Perfect,TO
ALMAS,2023-11,27.0,Perfect,TO
ALMAS,2023-12,27.0,Perfect,TO
ALTAMIRA,2019-01,25.0,Perfect,PA
ALTAMIRA,2019-02,25.0,Perfect,PA
ALTAMIRA,2019-03,25.0,Perfect,PA
ALTAMIRA,2019-04,25.0,Perfect,PA
ALTAMIRA,2019-05,26.0,Perfect,PA
ALTAMIRA,2019-06,26.0,Perfect,PA
ALTAMIRA,2019-07,26.0,Perfect,PA
ALTAMIRA,2019-08,27.0,Perfect,PA
ALTAMIRA,2019-09,27.0,Perfect,PA
ALTAMIRA,2019-10,27.0,Perfect,PA
ALTAMIRA,2019-11,27.0,Perfect,PA
ALTAMIRA,2019-12,26.0,Perfect,PA
ALTAMIRA,2020-01,25.0,Perfect,PA
ALTAMIRA,2020-02,25.0,Perfect,PA
ALTAMIRA,2020-03,25.0,Perfect,PA
ALTAMIRA,2020-04,25.0,Perfect,PA
ALTAMIRA,2020-05,25.0,Perfect,PA
ALTAMIRA,2020-06,25.0,Perfect,PA
ALTAMIRA,2020-07,25.0,Perfect,PA
ALTAMIRA,2020-08,25.0,Perfect,PA
ALTAMIRA,2020-09,25.0,Perfect,PA
ALTAMIRA,2020-10,25.0,Perfect,PA
ALTAMIRA,2020-11,25.0,Perfect,PA
ALTAMIRA,2020-12,25.0,Perfect,PA
ALTAMIRA,2022-01,26.0,Perfect,PA
ALTAMIRA,2022-02,26.0,Perfect,PA
ALTAMIRA,2022-03,26.0,Perfect,PA
ALTAMIRA,2022-04,26.0,Perfect,PA
ALTAMIRA,2022-05,26.0,Perfect,PA
ALTAMIRA,2022-06,26.0,Perfect,PA
ALTAMIRA,2022-07,26.0,Perfect,PA
ALTAMIRA,2022-08,27.0,Perfect,PA
ALTAMIRA,2022-09,28.0,Perfect,PA
ALTAMIRA,2022-10,27.0,Perfect,PA
ALTAMIRA,2022-11,26.0,Perfect,PA
ALTAMIRA,2022-12,25.0,Perfect,PA
ALTAMIRA,2023-01,25.0,Perfect,PA
ALTAMIRA,2023-02,25.0,Perfect,PA
ALTAMIRA,2023-03,25.0,Perfect,PA
ALTAMIRA,2023-04,26.0,Perfect,PA
ALTAMIRA,2023-05,26.0,Perfect,PA
ALTAMIRA,2023-06,26.0,Perfect,PA
ALTAMIRA,2023-07,27.0,Perfect,PA
ALTAMIRA,2023-08,28.0,Perfect,PA
